"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR3476368","SRR10493604","SRR12832819","SRR18128643","SRR7458128","SRR21192920","SRR6330514","SRR17279312","SRR12817687","SRR16553250","SRR10465596","SRR12136530","SRR16315919","SRR8430262","SRR12967761"
"group_1006","","hypothetical protein",905,905,1,1,2498,NA,NA,"",1823,2168,2165,"NAOMIIHD_03536","HHDPFMPJ_03562","JPAAHAJF_04469","MEPGFLHK_03414","LCEBHCIG_04377","INGNOLIM_04499","LJMMKEIG_03443","ODOEAHKO_04355","OAKNNIHI_02457","MGLHGHOA_03011","JEFFEOCM_03613","BDJEJNNB_02333","AHMBCJNH_03308","EKBLHAAA_04497","LHEMCCMO_03556"
"papC_3","","Outer membrane usher protein PapC",905,905,1,1,997,NA,NA,"",2057,2657,2656,"NAOMIIHD_03911","HHDPFMPJ_02381","JPAAHAJF_03544","MEPGFLHK_03885","LCEBHCIG_03706","INGNOLIM_04003","LJMMKEIG_03819","ODOEAHKO_03214","OAKNNIHI_03669","MGLHGHOA_03275","JEFFEOCM_03681","BDJEJNNB_02940","AHMBCJNH_03484","EKBLHAAA_04036","LHEMCCMO_03676"
"yfcO","","putative protein YfcO",905,905,1,1,992,NA,NA,"",734,842,841,"NAOMIIHD_03916","HHDPFMPJ_02376","JPAAHAJF_03549","MEPGFLHK_03890","LCEBHCIG_03711","INGNOLIM_04008","LJMMKEIG_03824","ODOEAHKO_03209","OAKNNIHI_03664","MGLHGHOA_03270","JEFFEOCM_03676","BDJEJNNB_02945","AHMBCJNH_03489","EKBLHAAA_04041","LHEMCCMO_03671"
"group_1013","","hypothetical protein",905,905,1,1,988,NA,NA,"",362,689,622,"NAOMIIHD_03920","HHDPFMPJ_02372","JPAAHAJF_03553","MEPGFLHK_03894","LCEBHCIG_03715","INGNOLIM_04012","LJMMKEIG_03828","ODOEAHKO_03205","OAKNNIHI_03660","MGLHGHOA_03266","JEFFEOCM_03672","BDJEJNNB_02949","AHMBCJNH_03493","EKBLHAAA_04045","LHEMCCMO_03667"
"abaF","","Fosfomycin resistance protein AbaF",905,905,1,1,979,NA,NA,"",803,1301,804,"NAOMIIHD_03928","HHDPFMPJ_02364","JPAAHAJF_03561","MEPGFLHK_03902","LCEBHCIG_03723","INGNOLIM_04020","LJMMKEIG_03836","ODOEAHKO_03197","OAKNNIHI_03652","MGLHGHOA_03258","JEFFEOCM_03664","BDJEJNNB_02957","AHMBCJNH_03501","EKBLHAAA_04053","LHEMCCMO_03659"
"ldcC","","Constitutive lysine decarboxylase",905,905,1,1,956,NA,NA,"",1370,2141,2139,"NAOMIIHD_03951","HHDPFMPJ_02341","JPAAHAJF_03584","MEPGFLHK_03925","LCEBHCIG_03746","INGNOLIM_04043","LJMMKEIG_03859","ODOEAHKO_03174","OAKNNIHI_03629","MGLHGHOA_03235","JEFFEOCM_03641","BDJEJNNB_02980","AHMBCJNH_03524","EKBLHAAA_04076","LHEMCCMO_03636"
"group_1042","","putative signaling protein",905,905,1,1,1158,NA,NA,"",1100,2099,2097,"NAOMIIHD_04584","HHDPFMPJ_04290","JPAAHAJF_04564","MEPGFLHK_04439","LCEBHCIG_04059","INGNOLIM_04337","LJMMKEIG_04466","ODOEAHKO_04456","OAKNNIHI_04505","MGLHGHOA_04372","JEFFEOCM_04451","BDJEJNNB_04419","AHMBCJNH_04515","EKBLHAAA_04327","LHEMCCMO_04476"
"malG","","Maltose/maltodextrin transport system permease protein MalG",905,905,1,1,913,NA,NA,"",515,890,889,"NAOMIIHD_02316","HHDPFMPJ_02003","JPAAHAJF_01180","MEPGFLHK_00921","LCEBHCIG_03678","INGNOLIM_03973","LJMMKEIG_01082","ODOEAHKO_02211","OAKNNIHI_02211","MGLHGHOA_01831","JEFFEOCM_01089","BDJEJNNB_04301","AHMBCJNH_01264","EKBLHAAA_04008","LHEMCCMO_01178"
"lamB","","Maltoporin",905,905,1,1,4755,NA,NA,"",644,1358,1347,"NAOMIIHD_02312","HHDPFMPJ_01999","JPAAHAJF_01184","MEPGFLHK_00925","LCEBHCIG_03674","INGNOLIM_03977","LJMMKEIG_01078","ODOEAHKO_02215","OAKNNIHI_02215","MGLHGHOA_01827","JEFFEOCM_01085","BDJEJNNB_04297","AHMBCJNH_01268","EKBLHAAA_04004","LHEMCCMO_01182"
"chuR_2","","Anaerobic sulfatase-maturating enzyme",905,905,1,1,5840,NA,NA,"",965,1190,1189,"NAOMIIHD_01918","HHDPFMPJ_03142","JPAAHAJF_01579","MEPGFLHK_01321","LCEBHCIG_04242","INGNOLIM_02073","LJMMKEIG_00685","ODOEAHKO_03744","OAKNNIHI_03596","MGLHGHOA_01432","JEFFEOCM_00689","BDJEJNNB_01225","AHMBCJNH_01663","EKBLHAAA_02153","LHEMCCMO_01577"
"yjgN_1","","Inner membrane protein YjgN",905,905,1,1,4988,NA,NA,"",752,848,847,"NAOMIIHD_02095","HHDPFMPJ_01779","JPAAHAJF_01403","MEPGFLHK_01144","LCEBHCIG_01634","INGNOLIM_01155","LJMMKEIG_00861","ODOEAHKO_02435","OAKNNIHI_03419","MGLHGHOA_01608","JEFFEOCM_00865","BDJEJNNB_01049","AHMBCJNH_01487","EKBLHAAA_04466","LHEMCCMO_01401"
"group_1092","","hypothetical protein",905,905,1,1,2437,NA,NA,"",698,974,973,"NAOMIIHD_03485","HHDPFMPJ_04363","JPAAHAJF_04418","MEPGFLHK_03466","LCEBHCIG_04301","INGNOLIM_04543","LJMMKEIG_03391","ODOEAHKO_04407","OAKNNIHI_04607","MGLHGHOA_04445","JEFFEOCM_04524","BDJEJNNB_04592","AHMBCJNH_04646","EKBLHAAA_04450","LHEMCCMO_03608"
"aceB","","Malate synthase A",905,905,1,1,889,NA,NA,"",1298,1601,1598,"NAOMIIHD_02340","HHDPFMPJ_02027","JPAAHAJF_01156","MEPGFLHK_00897","LCEBHCIG_03702","INGNOLIM_03949","LJMMKEIG_01106","ODOEAHKO_02187","OAKNNIHI_02187","MGLHGHOA_01855","JEFFEOCM_01113","BDJEJNNB_04325","AHMBCJNH_01240","EKBLHAAA_04032","LHEMCCMO_01154"
"prr","","Gamma-aminobutyraldehyde dehydrogenase",905,905,1,1,3242,NA,NA,"",1397,1445,1424,"NAOMIIHD_00471","HHDPFMPJ_00902","JPAAHAJF_01874","MEPGFLHK_00765","LCEBHCIG_00977","INGNOLIM_02348","LJMMKEIG_02213","ODOEAHKO_01210","OAKNNIHI_01355","MGLHGHOA_00277","JEFFEOCM_02221","BDJEJNNB_00579","AHMBCJNH_00278","EKBLHAAA_02203","LHEMCCMO_01872"
"group_1135","","hypothetical protein",905,905,1,1,1575,NA,NA,"",953,3956,3869,"NAOMIIHD_03144","HHDPFMPJ_01440","JPAAHAJF_02739","MEPGFLHK_02814","LCEBHCIG_00359","INGNOLIM_04272","LJMMKEIG_03002","ODOEAHKO_02484","OAKNNIHI_02717","MGLHGHOA_01887","JEFFEOCM_03009","BDJEJNNB_01999","AHMBCJNH_03907","EKBLHAAA_01742","LHEMCCMO_02389"
"ybiT","","putative ABC transporter ATP-binding protein YbiT",905,905,1,1,4411,NA,NA,"",977,1595,1590,"NAOMIIHD_01485","HHDPFMPJ_03941","JPAAHAJF_00739","MEPGFLHK_00071","LCEBHCIG_04067","INGNOLIM_03654","LJMMKEIG_04360","ODOEAHKO_04197","OAKNNIHI_03003","MGLHGHOA_03713","JEFFEOCM_04358","BDJEJNNB_04202","AHMBCJNH_00823","EKBLHAAA_03837","LHEMCCMO_00737"
"ttdA_1","","L(+)-tartrate dehydratase subunit alpha",905,905,1,1,1199,NA,NA,"",617,854,843,"NAOMIIHD_03970","HHDPFMPJ_02941","JPAAHAJF_03603","MEPGFLHK_04131","LCEBHCIG_04456","INGNOLIM_04122","LJMMKEIG_04059","ODOEAHKO_03545","OAKNNIHI_04465","MGLHGHOA_03610","JEFFEOCM_04582","BDJEJNNB_03628","AHMBCJNH_03730","EKBLHAAA_04236","LHEMCCMO_03821"
"dtpA","","Dipeptide and tripeptide permease A",905,905,1,1,3083,NA,NA,"",938,1511,1504,"NAOMIIHD_00332","HHDPFMPJ_02740","JPAAHAJF_02700","MEPGFLHK_03174","LCEBHCIG_01394","INGNOLIM_01910","LJMMKEIG_03362","ODOEAHKO_02175","OAKNNIHI_02175","MGLHGHOA_00416","JEFFEOCM_03368","BDJEJNNB_03224","AHMBCJNH_00417","EKBLHAAA_01781","LHEMCCMO_03311"
"cfxP","","Phosphoribulokinase, plasmid",905,905,1,1,126,NA,NA,"",749,869,868,"NAOMIIHD_02407","HHDPFMPJ_00350","JPAAHAJF_02021","MEPGFLHK_01404","LCEBHCIG_00673","INGNOLIM_00405","LJMMKEIG_01457","ODOEAHKO_00732","OAKNNIHI_01014","MGLHGHOA_03203","JEFFEOCM_01466","BDJEJNNB_01593","AHMBCJNH_02030","EKBLHAAA_00990","LHEMCCMO_02706"
"nudE","","ADP compounds hydrolase NudE",905,905,1,1,161,NA,NA,"",563,596,563,"NAOMIIHD_02437","HHDPFMPJ_00320","JPAAHAJF_02051","MEPGFLHK_01434","LCEBHCIG_00703","INGNOLIM_00435","LJMMKEIG_01427","ODOEAHKO_00762","OAKNNIHI_00984","MGLHGHOA_03173","JEFFEOCM_01436","BDJEJNNB_01563","AHMBCJNH_02000","EKBLHAAA_00960","LHEMCCMO_02736"
"igaA","","Intracellular growth attenuator protein igaA",905,905,1,1,162,NA,NA,"",1997,2132,2131,"NAOMIIHD_02438","HHDPFMPJ_00319","JPAAHAJF_02052","MEPGFLHK_01435","LCEBHCIG_00704","INGNOLIM_00436","LJMMKEIG_01426","ODOEAHKO_00763","OAKNNIHI_00983","MGLHGHOA_03172","JEFFEOCM_01435","BDJEJNNB_01562","AHMBCJNH_01999","EKBLHAAA_00959","LHEMCCMO_02737"
"hslR","","Heat shock protein 15",905,905,1,1,164,NA,NA,"",326,401,400,"NAOMIIHD_02440","HHDPFMPJ_00317","JPAAHAJF_02054","MEPGFLHK_01437","LCEBHCIG_00706","INGNOLIM_00438","LJMMKEIG_01424","ODOEAHKO_00765","OAKNNIHI_00981","MGLHGHOA_03170","JEFFEOCM_01433","BDJEJNNB_01560","AHMBCJNH_01997","EKBLHAAA_00957","LHEMCCMO_02739"
"rhmR_1","","putative HTH-type transcriptional regulator RhmR",905,905,1,1,204,NA,NA,"",608,755,754,"NAOMIIHD_02476","HHDPFMPJ_00281","JPAAHAJF_02090","MEPGFLHK_01473","LCEBHCIG_00742","INGNOLIM_00474","LJMMKEIG_01388","ODOEAHKO_00801","OAKNNIHI_00945","MGLHGHOA_03134","JEFFEOCM_01397","BDJEJNNB_01524","AHMBCJNH_01961","EKBLHAAA_00921","LHEMCCMO_02775"
"malP_1","","Maltodextrin phosphorylase",905,905,1,1,205,NA,NA,"",2372,2447,2446,"NAOMIIHD_02477","HHDPFMPJ_00280","JPAAHAJF_02091","MEPGFLHK_01474","LCEBHCIG_00743","INGNOLIM_00475","LJMMKEIG_01387","ODOEAHKO_00802","OAKNNIHI_00944","MGLHGHOA_03133","JEFFEOCM_01396","BDJEJNNB_01523","AHMBCJNH_01960","EKBLHAAA_00920","LHEMCCMO_02776"
"yhhX","","putative oxidoreductase YhhX",905,905,1,1,216,NA,NA,"",500,1037,1036,"NAOMIIHD_02487","HHDPFMPJ_00270","JPAAHAJF_02101","MEPGFLHK_01484","LCEBHCIG_00753","INGNOLIM_00485","LJMMKEIG_01377","ODOEAHKO_00812","OAKNNIHI_00934","MGLHGHOA_03123","JEFFEOCM_01386","BDJEJNNB_01513","AHMBCJNH_01950","EKBLHAAA_00910","LHEMCCMO_02786"
"lacG","","Lactose transport system permease protein LacG",905,905,1,1,229,NA,NA,"",500,845,844,"NAOMIIHD_02498","HHDPFMPJ_00259","JPAAHAJF_02112","MEPGFLHK_01495","LCEBHCIG_00764","INGNOLIM_00496","LJMMKEIG_01366","ODOEAHKO_00823","OAKNNIHI_00924","MGLHGHOA_03112","JEFFEOCM_01375","BDJEJNNB_01502","AHMBCJNH_01940","EKBLHAAA_00899","LHEMCCMO_02797"
"pitA","","Low-affinity inorganic phosphate transporter 1",905,905,1,1,267,NA,NA,"",716,1496,1495,"NAOMIIHD_02532","HHDPFMPJ_00225","JPAAHAJF_02146","MEPGFLHK_01529","LCEBHCIG_00798","INGNOLIM_00530","LJMMKEIG_01332","ODOEAHKO_00857","OAKNNIHI_00890","MGLHGHOA_03078","JEFFEOCM_01341","BDJEJNNB_01468","AHMBCJNH_01906","EKBLHAAA_00865","LHEMCCMO_02831"
"uspB","","Universal stress protein B",905,905,1,1,268,NA,NA,"",242,335,334,"NAOMIIHD_02533","HHDPFMPJ_00224","JPAAHAJF_02147","MEPGFLHK_01530","LCEBHCIG_00799","INGNOLIM_00531","LJMMKEIG_01331","ODOEAHKO_00858","OAKNNIHI_00889","MGLHGHOA_03077","JEFFEOCM_01340","BDJEJNNB_01467","AHMBCJNH_01905","EKBLHAAA_00864","LHEMCCMO_02832"
"yhjE","","Inner membrane metabolite transport protein YhjE",905,905,1,1,288,NA,NA,"",1100,1322,1321,"NAOMIIHD_02552","HHDPFMPJ_00205","JPAAHAJF_02166","MEPGFLHK_01549","LCEBHCIG_00818","INGNOLIM_00550","LJMMKEIG_01312","ODOEAHKO_00877","OAKNNIHI_00870","MGLHGHOA_03058","JEFFEOCM_01321","BDJEJNNB_01448","AHMBCJNH_01886","EKBLHAAA_00845","LHEMCCMO_02851"
"group_1190","","hypothetical protein",905,905,1,1,289,NA,NA,"",1895,2060,2059,"NAOMIIHD_02553","HHDPFMPJ_00204","JPAAHAJF_02167","MEPGFLHK_01550","LCEBHCIG_00819","INGNOLIM_00551","LJMMKEIG_01311","ODOEAHKO_00878","OAKNNIHI_00869","MGLHGHOA_03057","JEFFEOCM_01320","BDJEJNNB_01447","AHMBCJNH_01885","EKBLHAAA_00844","LHEMCCMO_02852"
"bcsE","","Cyclic di-GMP binding protein BcsE",905,905,1,1,302,NA,NA,"",1445,1559,1555,"NAOMIIHD_02565","HHDPFMPJ_00192","JPAAHAJF_02179","MEPGFLHK_01562","LCEBHCIG_00831","INGNOLIM_00563","LJMMKEIG_01299","ODOEAHKO_00890","OAKNNIHI_00857","MGLHGHOA_03045","JEFFEOCM_01308","BDJEJNNB_01435","AHMBCJNH_01873","EKBLHAAA_00832","LHEMCCMO_02864"
"eptB","","Kdo(2)-lipid A phosphoethanolamine 7''-transferase",905,905,1,1,316,NA,NA,"",560,1691,1689,"NAOMIIHD_02579","HHDPFMPJ_00178","JPAAHAJF_02193","MEPGFLHK_01576","LCEBHCIG_00845","INGNOLIM_00577","LJMMKEIG_01285","ODOEAHKO_00904","OAKNNIHI_00843","MGLHGHOA_03031","JEFFEOCM_01294","BDJEJNNB_01421","AHMBCJNH_01859","EKBLHAAA_00818","LHEMCCMO_02878"
"lpfD_1","","putative minor fimbrial subunit LpfD",905,905,1,1,318,NA,NA,"",512,1079,1078,"NAOMIIHD_02581","HHDPFMPJ_00176","JPAAHAJF_02195","MEPGFLHK_01578","LCEBHCIG_00847","INGNOLIM_00579","LJMMKEIG_01283","ODOEAHKO_00906","OAKNNIHI_00841","MGLHGHOA_03029","JEFFEOCM_01292","BDJEJNNB_01419","AHMBCJNH_01857","EKBLHAAA_00816","LHEMCCMO_02880"
"group_1194","","hypothetical protein",905,905,1,1,319,NA,NA,"",2243,2297,2243,"NAOMIIHD_02582","HHDPFMPJ_00175","JPAAHAJF_02196","MEPGFLHK_01579","LCEBHCIG_00848","INGNOLIM_00580","LJMMKEIG_01282","ODOEAHKO_00907","OAKNNIHI_00840","MGLHGHOA_03028","JEFFEOCM_01291","BDJEJNNB_01418","AHMBCJNH_01856","EKBLHAAA_00815","LHEMCCMO_02881"
"yiaC","","Peptidyl-lysine N-acetyltransferase YiaC",905,905,1,1,326,NA,NA,"",170,440,439,"NAOMIIHD_02589","HHDPFMPJ_00168","JPAAHAJF_02203","MEPGFLHK_01586","LCEBHCIG_00855","INGNOLIM_00587","LJMMKEIG_01275","ODOEAHKO_00914","OAKNNIHI_00833","MGLHGHOA_03787","JEFFEOCM_01284","BDJEJNNB_01411","AHMBCJNH_01849","EKBLHAAA_00808","LHEMCCMO_02888"
"bisC","","Biotin sulfoxide reductase",905,905,1,1,327,NA,NA,"",479,2333,2328,"NAOMIIHD_02590","HHDPFMPJ_00167","JPAAHAJF_02204","MEPGFLHK_01587","LCEBHCIG_00856","INGNOLIM_00588","LJMMKEIG_01274","ODOEAHKO_00915","OAKNNIHI_00832","MGLHGHOA_03788","JEFFEOCM_01283","BDJEJNNB_01410","AHMBCJNH_01848","EKBLHAAA_00807","LHEMCCMO_02889"
"hyfA_3","","Hydrogenase-4 component A",905,905,1,1,348,NA,NA,"",473,581,473,"NAOMIIHD_02611","HHDPFMPJ_00145","JPAAHAJF_02225","MEPGFLHK_01608","LCEBHCIG_00878","INGNOLIM_00610","LJMMKEIG_01253","ODOEAHKO_00937","OAKNNIHI_00811","MGLHGHOA_03809","JEFFEOCM_01262","BDJEJNNB_01388","AHMBCJNH_01826","EKBLHAAA_00786","LHEMCCMO_02911"
"lyx","","L-xylulose/3-keto-L-gulonate kinase",905,905,1,1,356,NA,NA,"",1178,1496,1495,"NAOMIIHD_02619","HHDPFMPJ_00137","JPAAHAJF_02233","MEPGFLHK_01616","LCEBHCIG_00886","INGNOLIM_00618","LJMMKEIG_01245","ODOEAHKO_00945","OAKNNIHI_00803","MGLHGHOA_03817","JEFFEOCM_01254","BDJEJNNB_01380","AHMBCJNH_01818","EKBLHAAA_00778","LHEMCCMO_02919"
"selB","","Selenocysteine-specific elongation factor",905,905,1,1,366,NA,NA,"",1730,1850,1849,"NAOMIIHD_02627","HHDPFMPJ_00129","JPAAHAJF_02241","MEPGFLHK_01624","LCEBHCIG_00895","INGNOLIM_00626","LJMMKEIG_01237","ODOEAHKO_00953","OAKNNIHI_00795","MGLHGHOA_03825","JEFFEOCM_01246","BDJEJNNB_01372","AHMBCJNH_01810","EKBLHAAA_00770","LHEMCCMO_02927"
"group_1201","","L-talarate/galactarate dehydratase",905,905,1,1,382,NA,NA,"",1196,1259,1196,"NAOMIIHD_02642","HHDPFMPJ_00114","JPAAHAJF_02256","MEPGFLHK_01639","LCEBHCIG_00910","INGNOLIM_00641","LJMMKEIG_01222","ODOEAHKO_00968","OAKNNIHI_00780","MGLHGHOA_03840","JEFFEOCM_01231","BDJEJNNB_01357","AHMBCJNH_01795","EKBLHAAA_00755","LHEMCCMO_02942"
"narL_1","","Nitrate/nitrite response regulator protein NarL",905,905,1,1,3425,NA,NA,"",569,650,649,"NAOMIIHD_00642","HHDPFMPJ_01073","JPAAHAJF_01704","MEPGFLHK_00594","LCEBHCIG_01148","INGNOLIM_03192","LJMMKEIG_02041","ODOEAHKO_01381","OAKNNIHI_01184","MGLHGHOA_00106","JEFFEOCM_02050","BDJEJNNB_00750","AHMBCJNH_00107","EKBLHAAA_02350","LHEMCCMO_01701"
"group_1203","","hypothetical protein",905,905,1,1,3398,NA,NA,"",311,836,835,"NAOMIIHD_00618","HHDPFMPJ_01049","JPAAHAJF_01727","MEPGFLHK_00618","LCEBHCIG_01124","INGNOLIM_03216","LJMMKEIG_02065","ODOEAHKO_01357","OAKNNIHI_01208","MGLHGHOA_00130","JEFFEOCM_02074","BDJEJNNB_00726","AHMBCJNH_00131","EKBLHAAA_02374","LHEMCCMO_01725"
"yciI","","Protein YciI",905,905,1,1,3394,NA,NA,"",221,296,295,"NAOMIIHD_00614","HHDPFMPJ_01045","JPAAHAJF_01731","MEPGFLHK_00622","LCEBHCIG_01120","INGNOLIM_03220","LJMMKEIG_02069","ODOEAHKO_01353","OAKNNIHI_01212","MGLHGHOA_00134","JEFFEOCM_02078","BDJEJNNB_00722","AHMBCJNH_00135","EKBLHAAA_02378","LHEMCCMO_01729"
