"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR17181351","SRR16028420","SRR15832925","SRR6881532","SRR15356087","SRR13483608","SRR10176078","SRR21227630","SRR6676532","SRR6880072","SRR14323278","SRR17655845","SRR13811257","SRR15972785","SRR16151816"
"fhlA","","Formate hydrogenlyase transcriptional activator",664,664,1,1,2654,NA,NA,"",1163,2078,2076,"HNIBDLEF_00500","CFCHKDPE_02389","NNCNJNHG_00171","NIAEFBPC_00170","NJNAKGJD_01904","MMBENACN_00500","KLCIBBAK_00910","NJIEFCMH_00860","GBKPDABM_00499","DHLDAJMA_00170","EINJGAEM_00915","BGKFMLGD_01141","NGPEFPDJ_01242","HNPJOKFM_01244","EPGDAJFB_01847"
"hypB","","Hydrogenase maturation factor HypB",664,664,1,1,2649,NA,NA,"",545,872,871,"HNIBDLEF_00504","CFCHKDPE_02385","NNCNJNHG_00167","NIAEFBPC_00166","NJNAKGJD_01908","MMBENACN_00504","KLCIBBAK_00906","NJIEFCMH_00864","GBKPDABM_00503","DHLDAJMA_00166","EINJGAEM_00911","BGKFMLGD_01145","NGPEFPDJ_01246","HNPJOKFM_01248","EPGDAJFB_01843"
"yqaA","","Inner membrane protein YqaA",664,664,1,1,2616,NA,NA,"",281,425,424,"HNIBDLEF_00541","CFCHKDPE_02348","NNCNJNHG_00130","NIAEFBPC_00129","NJNAKGJD_01945","MMBENACN_00541","KLCIBBAK_00869","NJIEFCMH_00901","GBKPDABM_00540","DHLDAJMA_00129","EINJGAEM_00874","BGKFMLGD_01182","NGPEFPDJ_01283","HNPJOKFM_01285","EPGDAJFB_01806"
"tctD","","Transcriptional regulatory protein tctD",664,664,1,1,2577,NA,NA,"",332,674,673,"HNIBDLEF_00578","CFCHKDPE_02311","NNCNJNHG_00093","NIAEFBPC_00092","NJNAKGJD_01982","MMBENACN_00578","KLCIBBAK_00832","NJIEFCMH_00938","GBKPDABM_00577","DHLDAJMA_00092","EINJGAEM_00837","BGKFMLGD_01219","NGPEFPDJ_01320","HNPJOKFM_01322","EPGDAJFB_01769"
"yhaJ_2","","HTH-type transcriptional regulator YhaJ",664,664,1,1,5916,NA,NA,"",626,914,913,"HNIBDLEF_02648","CFCHKDPE_04198","NNCNJNHG_03505","NIAEFBPC_03800","NJNAKGJD_02991","MMBENACN_02684","KLCIBBAK_03488","NJIEFCMH_02764","GBKPDABM_03573","DHLDAJMA_02627","EINJGAEM_03127","BGKFMLGD_03431","NGPEFPDJ_03568","HNPJOKFM_02797","EPGDAJFB_03284"
"wzzB","","Chain length determinant protein",664,664,1,1,5926,NA,NA,"",743,983,982,"HNIBDLEF_02638","CFCHKDPE_04208","NNCNJNHG_03515","NIAEFBPC_03810","NJNAKGJD_03001","MMBENACN_02694","KLCIBBAK_03498","NJIEFCMH_02754","GBKPDABM_03563","DHLDAJMA_02617","EINJGAEM_03117","BGKFMLGD_03441","NGPEFPDJ_03558","HNPJOKFM_02807","EPGDAJFB_03294"
"group_1037","","hypothetical protein",664,664,1,1,5953,NA,NA,"",1004,1403,1402,"HNIBDLEF_02617","CFCHKDPE_03445","NNCNJNHG_03536","NIAEFBPC_02614","NJNAKGJD_03022","MMBENACN_02715","KLCIBBAK_03519","NJIEFCMH_01171","GBKPDABM_03542","DHLDAJMA_02596","EINJGAEM_03096","BGKFMLGD_03462","NGPEFPDJ_03537","HNPJOKFM_02828","EPGDAJFB_03315"
"gtfA","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit",664,664,1,1,5954,NA,NA,"",281,1220,1218,"HNIBDLEF_02616","CFCHKDPE_03444","NNCNJNHG_03537","NIAEFBPC_02615","NJNAKGJD_03023","MMBENACN_02716","KLCIBBAK_03520","NJIEFCMH_01170","GBKPDABM_03541","DHLDAJMA_02595","EINJGAEM_03095","BGKFMLGD_03463","NGPEFPDJ_03536","HNPJOKFM_02829","EPGDAJFB_03316"
"manC1","","Mannose-1-phosphate guanylyltransferase 1",664,664,1,1,5960,NA,NA,"",1073,1436,1433,"HNIBDLEF_02611","CFCHKDPE_03439","NNCNJNHG_03542","NIAEFBPC_02620","NJNAKGJD_03028","MMBENACN_02721","KLCIBBAK_03525","NJIEFCMH_01165","GBKPDABM_03536","DHLDAJMA_02590","EINJGAEM_03090","BGKFMLGD_03468","NGPEFPDJ_03531","HNPJOKFM_02834","EPGDAJFB_03321"
"mdtB","","Multidrug resistance protein MdtB",664,664,1,1,6116,NA,NA,"",494,3122,3116,"HNIBDLEF_02586","CFCHKDPE_03414","NNCNJNHG_03567","NIAEFBPC_02645","NJNAKGJD_03053","MMBENACN_02746","KLCIBBAK_03550","NJIEFCMH_01140","GBKPDABM_03511","DHLDAJMA_02565","EINJGAEM_03065","BGKFMLGD_03493","NGPEFPDJ_03506","HNPJOKFM_02859","EPGDAJFB_03346"
