"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR28323378","SRR14766402","SRR14272156","SRR2994392","SRR10037224","SRR15146530","SRR28323368","SRR5883578","SRR15096242","SRR14766400","SRR14766442","SRR10257879","NDSU18","SRR28412156","SRR3000892"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"KHLHGNPO_02760","IEMKGCAE_03541","HKKILDPC_00978","FBFFAOJI_02177","EDINNCHB_00310","MNLBAKIA_00979","FCMCIBEK_01547","DGJMLPEB_02092","PKPKCGOC_01595","NBOJOKHD_02701","GBDLBGEF_01435","OBCHFKCE_01699","IELCNDCB_03500","HIAOCFAH_01719","FDCFMIMA_01727"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"KHLHGNPO_02860","IEMKGCAE_03800","HKKILDPC_01078","FBFFAOJI_04055","EDINNCHB_00410","MNLBAKIA_01079","FCMCIBEK_01447","DGJMLPEB_03579","PKPKCGOC_01495","NBOJOKHD_02801","GBDLBGEF_03403","OBCHFKCE_01599","IELCNDCB_03400","HIAOCFAH_01819","FDCFMIMA_01827"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"KHLHGNPO_02990","IEMKGCAE_04218","HKKILDPC_03882","FBFFAOJI_03012","EDINNCHB_03935","MNLBAKIA_03719","FCMCIBEK_03801","DGJMLPEB_04280","PKPKCGOC_03843","NBOJOKHD_02931","GBDLBGEF_02678","OBCHFKCE_03733","IELCNDCB_03615","HIAOCFAH_03785","FDCFMIMA_03539"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"KHLHGNPO_03842","IEMKGCAE_03977","HKKILDPC_04164","FBFFAOJI_03594","EDINNCHB_04216","MNLBAKIA_04089","FCMCIBEK_04163","DGJMLPEB_03326","PKPKCGOC_04125","NBOJOKHD_03362","GBDLBGEF_03511","OBCHFKCE_02779","IELCNDCB_03740","HIAOCFAH_04141","FDCFMIMA_03993"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"KHLHGNPO_03837","IEMKGCAE_03972","HKKILDPC_04169","FBFFAOJI_03599","EDINNCHB_04221","MNLBAKIA_04094","FCMCIBEK_04158","DGJMLPEB_03321","PKPKCGOC_04130","NBOJOKHD_03357","GBDLBGEF_03418","OBCHFKCE_02784","IELCNDCB_03745","HIAOCFAH_04136","FDCFMIMA_03988"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"KHLHGNPO_03779","IEMKGCAE_04284","HKKILDPC_04227","FBFFAOJI_03657","EDINNCHB_04279","MNLBAKIA_04152","FCMCIBEK_04100","DGJMLPEB_03263","PKPKCGOC_04188","NBOJOKHD_03299","GBDLBGEF_04485","OBCHFKCE_02842","IELCNDCB_03803","HIAOCFAH_04078","FDCFMIMA_03930"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"KHLHGNPO_03743","IEMKGCAE_04320","HKKILDPC_04263","FBFFAOJI_03693","EDINNCHB_04315","MNLBAKIA_04188","FCMCIBEK_04064","DGJMLPEB_03227","PKPKCGOC_04224","NBOJOKHD_03263","GBDLBGEF_03303","OBCHFKCE_03899","IELCNDCB_03839","HIAOCFAH_04042","FDCFMIMA_03894"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"KHLHGNPO_04156","IEMKGCAE_04160","HKKILDPC_04427","FBFFAOJI_04255","EDINNCHB_04479","MNLBAKIA_04352","FCMCIBEK_04346","DGJMLPEB_04105","PKPKCGOC_04325","NBOJOKHD_03963","GBDLBGEF_02182","OBCHFKCE_03379","IELCNDCB_04296","HIAOCFAH_04359","FDCFMIMA_04322"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"KHLHGNPO_04100","IEMKGCAE_04104","HKKILDPC_04371","FBFFAOJI_04199","EDINNCHB_04423","MNLBAKIA_04296","FCMCIBEK_04290","DGJMLPEB_04049","PKPKCGOC_04381","NBOJOKHD_04019","GBDLBGEF_02238","OBCHFKCE_03435","IELCNDCB_04240","HIAOCFAH_04415","FDCFMIMA_04266"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"KHLHGNPO_03093","IEMKGCAE_04176","HKKILDPC_03782","FBFFAOJI_03112","EDINNCHB_03835","MNLBAKIA_03821","FCMCIBEK_03700","DGJMLPEB_04375","PKPKCGOC_03744","NBOJOKHD_03031","GBDLBGEF_01086","OBCHFKCE_03053","IELCNDCB_04428","HIAOCFAH_03686","FDCFMIMA_03639"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"KHLHGNPO_04391","IEMKGCAE_04427","HKKILDPC_04468","FBFFAOJI_04381","EDINNCHB_04542","MNLBAKIA_04471","FCMCIBEK_04574","DGJMLPEB_04421","PKPKCGOC_04543","NBOJOKHD_04277","GBDLBGEF_04597","OBCHFKCE_04161","IELCNDCB_04534","HIAOCFAH_04463","FDCFMIMA_04593"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"KHLHGNPO_04394","IEMKGCAE_04424","HKKILDPC_04465","FBFFAOJI_04384","EDINNCHB_04545","MNLBAKIA_04474","FCMCIBEK_04571","DGJMLPEB_04418","PKPKCGOC_04540","NBOJOKHD_04280","GBDLBGEF_03757","OBCHFKCE_04164","IELCNDCB_04531","HIAOCFAH_04460","FDCFMIMA_04596"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"KHLHGNPO_04415","IEMKGCAE_04403","HKKILDPC_04444","FBFFAOJI_04405","EDINNCHB_04566","MNLBAKIA_04495","FCMCIBEK_04550","DGJMLPEB_04397","PKPKCGOC_04519","NBOJOKHD_04301","GBDLBGEF_03778","OBCHFKCE_04185","IELCNDCB_04510","HIAOCFAH_04439","FDCFMIMA_04617"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"KHLHGNPO_04358","IEMKGCAE_04362","HKKILDPC_04498","FBFFAOJI_04450","EDINNCHB_00517","MNLBAKIA_04438","FCMCIBEK_04505","DGJMLPEB_04450","PKPKCGOC_04474","NBOJOKHD_04343","GBDLBGEF_01300","OBCHFKCE_03960","IELCNDCB_01038","HIAOCFAH_04493","FDCFMIMA_04560"
