"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR10084895","SRR6475644","SRR10298208","SRR9694200","SRR14766409","SRR2102508","SRR5904974","SRR7011962","NDSU4","SRR15146548","SRR14766432","SRR2077395","SRR14766337","SRR5883586","SRR1578511"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"AIHABEGN_00978","JMHMHBON_02094","MOBEGOEH_00844","GDOIKAKM_00978","MPAHEGDA_02912","PEGBKDIG_03466","EDAOGEGO_02499","KOJFNNPD_00951","MLOHFGPA_03434","EGKOAKEK_01588","MHLDJHJA_03408","CKEGPAKG_03530","FHGKKJNF_01456","PKILBCIH_01268","EJOKNHIB_01722"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"AIHABEGN_01078","JMHMHBON_02194","MOBEGOEH_00744","GDOIKAKM_01078","MPAHEGDA_02661","PEGBKDIG_03676","EDAOGEGO_04124","KOJFNNPD_01051","MLOHFGPA_02053","EGKOAKEK_01488","MHLDJHJA_02766","CKEGPAKG_03917","FHGKKJNF_00434","PKILBCIH_03925","EJOKNHIB_01822"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"AIHABEGN_03800","JMHMHBON_03763","MOBEGOEH_03808","GDOIKAKM_03435","MPAHEGDA_03690","PEGBKDIG_04206","EDAOGEGO_03505","KOJFNNPD_04446","MLOHFGPA_00529","EGKOAKEK_03723","MHLDJHJA_03856","CKEGPAKG_01933","FHGKKJNF_01956","PKILBCIH_04374","EJOKNHIB_03800"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"AIHABEGN_04248","JMHMHBON_04045","MOBEGOEH_04170","GDOIKAKM_03900","MPAHEGDA_01930","PEGBKDIG_03170","EDAOGEGO_03757","KOJFNNPD_03836","MLOHFGPA_02286","EGKOAKEK_04091","MHLDJHJA_02197","CKEGPAKG_02576","FHGKKJNF_04534","PKILBCIH_03697","EJOKNHIB_04162"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"AIHABEGN_04243","JMHMHBON_04050","MOBEGOEH_04165","GDOIKAKM_03905","MPAHEGDA_01925","PEGBKDIG_03175","EDAOGEGO_03752","KOJFNNPD_03841","MLOHFGPA_02281","EGKOAKEK_04096","MHLDJHJA_02192","CKEGPAKG_02581","FHGKKJNF_02828","PKILBCIH_03692","EJOKNHIB_04157"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"AIHABEGN_04185","JMHMHBON_04108","MOBEGOEH_04107","GDOIKAKM_03963","MPAHEGDA_01867","PEGBKDIG_03233","EDAOGEGO_03694","KOJFNNPD_03899","MLOHFGPA_02223","EGKOAKEK_04154","MHLDJHJA_02134","CKEGPAKG_02639","FHGKKJNF_01969","PKILBCIH_03634","EJOKNHIB_04099"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"AIHABEGN_04149","JMHMHBON_04144","MOBEGOEH_04071","GDOIKAKM_03999","MPAHEGDA_01831","PEGBKDIG_03269","EDAOGEGO_03658","KOJFNNPD_03935","MLOHFGPA_04199","EGKOAKEK_04190","MHLDJHJA_02098","CKEGPAKG_02675","FHGKKJNF_02005","PKILBCIH_03598","EJOKNHIB_04063"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"AIHABEGN_04368","JMHMHBON_04308","MOBEGOEH_04290","GDOIKAKM_04319","MPAHEGDA_03444","PEGBKDIG_03931","EDAOGEGO_04254","KOJFNNPD_04183","MLOHFGPA_03533","EGKOAKEK_04354","MHLDJHJA_03330","CKEGPAKG_03652","FHGKKJNF_01399","PKILBCIH_04118","EJOKNHIB_04386"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"AIHABEGN_04424","JMHMHBON_04252","MOBEGOEH_04346","GDOIKAKM_04263","MPAHEGDA_03388","PEGBKDIG_03987","EDAOGEGO_04310","KOJFNNPD_04239","MLOHFGPA_04575","EGKOAKEK_04298","MHLDJHJA_03386","CKEGPAKG_03596","FHGKKJNF_01343","PKILBCIH_04062","EJOKNHIB_04442"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"AIHABEGN_03900","JMHMHBON_03661","MOBEGOEH_03708","GDOIKAKM_03335","MPAHEGDA_01629","PEGBKDIG_04267","EDAOGEGO_03605","KOJFNNPD_03764","MLOHFGPA_00631","EGKOAKEK_03822","MHLDJHJA_03026","CKEGPAKG_02034","FHGKKJNF_04212","PKILBCIH_03487","EJOKNHIB_03700"
