"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR6818876","SRR22822728","SRR12887522","SRR14197057","SRR1363299","SRR13187405","SRR22590183","SRR16966793","SRR12136553","SRR9829548","SRR21685406","SRR12828266","SRR10493632","SRR10530286","SRR13498980"
"group_1006","","hypothetical protein",905,905,1,1,2498,NA,NA,"",1823,2168,2165,"JIPFFDCF_03744","DPCBLNEH_03900","BKAOMEEO_04500","EGIGCKHA_03669","DHLDHFJE_03306","MJNEBMJF_04509","NFGBFBMD_04502","DPOOMEDH_04017","FJFGAAFC_04438","OOANMHJI_04499","BMPEKIPN_03621","DIMJJOFL_04246","LCGCCLMA_04189","NBMKALFD_03536","FFCAJPKM_03230"
"papC_3","","Outer membrane usher protein PapC",905,905,1,1,997,NA,NA,"",2057,2657,2656,"JIPFFDCF_04208","DPCBLNEH_04233","BKAOMEEO_01972","EGIGCKHA_03874","DHLDHFJE_03757","MJNEBMJF_03581","NFGBFBMD_03629","DPOOMEDH_03903","FJFGAAFC_04213","OOANMHJI_03867","BMPEKIPN_02571","DIMJJOFL_03948","LCGCCLMA_03575","NBMKALFD_04074","FFCAJPKM_03936"
"yfcO","","putative protein YfcO",905,905,1,1,992,NA,NA,"",734,842,841,"JIPFFDCF_04203","DPCBLNEH_04238","BKAOMEEO_01977","EGIGCKHA_03879","DHLDHFJE_03762","MJNEBMJF_03576","NFGBFBMD_03624","DPOOMEDH_03908","FJFGAAFC_04218","OOANMHJI_03862","BMPEKIPN_02566","DIMJJOFL_03943","LCGCCLMA_03570","NBMKALFD_04069","FFCAJPKM_03931"
"group_1013","","hypothetical protein",905,905,1,1,988,NA,NA,"",362,689,622,"JIPFFDCF_04199","DPCBLNEH_04242","BKAOMEEO_01981","EGIGCKHA_03883","DHLDHFJE_03766","MJNEBMJF_03572","NFGBFBMD_03620","DPOOMEDH_03912","FJFGAAFC_04222","OOANMHJI_03858","BMPEKIPN_02562","DIMJJOFL_03939","LCGCCLMA_03566","NBMKALFD_04065","FFCAJPKM_03927"
"abaF","","Fosfomycin resistance protein AbaF",905,905,1,1,979,NA,NA,"",803,1301,804,"JIPFFDCF_04191","DPCBLNEH_04250","BKAOMEEO_01989","EGIGCKHA_03891","DHLDHFJE_03774","MJNEBMJF_03564","NFGBFBMD_03612","DPOOMEDH_03920","FJFGAAFC_04230","OOANMHJI_03850","BMPEKIPN_02554","DIMJJOFL_03931","LCGCCLMA_03558","NBMKALFD_04057","FFCAJPKM_03919"
"ldcC","","Constitutive lysine decarboxylase",905,905,1,1,956,NA,NA,"",1370,2141,2139,"JIPFFDCF_04168","DPCBLNEH_04273","BKAOMEEO_02012","EGIGCKHA_03914","DHLDHFJE_03797","MJNEBMJF_03541","NFGBFBMD_03589","DPOOMEDH_03943","FJFGAAFC_04253","OOANMHJI_03827","BMPEKIPN_02531","DIMJJOFL_03908","LCGCCLMA_03535","NBMKALFD_04034","FFCAJPKM_03895"
"group_1042","","putative signaling protein",905,905,1,1,1158,NA,NA,"",1100,2099,2097,"JIPFFDCF_04397","DPCBLNEH_04420","BKAOMEEO_04418","EGIGCKHA_04566","DHLDHFJE_04470","MJNEBMJF_04013","NFGBFBMD_03967","DPOOMEDH_04128","FJFGAAFC_04316","OOANMHJI_04119","BMPEKIPN_04390","DIMJJOFL_04415","LCGCCLMA_03869","NBMKALFD_04307","FFCAJPKM_04421"
"malG","","Maltose/maltodextrin transport system permease protein MalG",905,905,1,1,913,NA,NA,"",515,890,889,"JIPFFDCF_02227","DPCBLNEH_03809","BKAOMEEO_03353","EGIGCKHA_01180","DHLDHFJE_01927","MJNEBMJF_03460","NFGBFBMD_03983","DPOOMEDH_04192","FJFGAAFC_01281","OOANMHJI_04237","BMPEKIPN_03973","DIMJJOFL_00419","LCGCCLMA_03494","NBMKALFD_03578","FFCAJPKM_01085"
"lamB","","Maltoporin",905,905,1,1,4755,NA,NA,"",644,1358,1347,"JIPFFDCF_02223","DPCBLNEH_03805","BKAOMEEO_03349","EGIGCKHA_01184","DHLDHFJE_01931","MJNEBMJF_03456","NFGBFBMD_03987","DPOOMEDH_04188","FJFGAAFC_01285","OOANMHJI_04233","BMPEKIPN_03969","DIMJJOFL_00415","LCGCCLMA_03490","NBMKALFD_03574","FFCAJPKM_01081"
"chuR_2","","Anaerobic sulfatase-maturating enzyme",905,905,1,1,5840,NA,NA,"",965,1190,1189,"JIPFFDCF_02665","DPCBLNEH_02852","BKAOMEEO_00726","EGIGCKHA_01579","DHLDHFJE_02327","MJNEBMJF_04265","NFGBFBMD_04240","DPOOMEDH_04404","FJFGAAFC_01680","OOANMHJI_02772","BMPEKIPN_03244","DIMJJOFL_00019","LCGCCLMA_03233","NBMKALFD_04507","FFCAJPKM_00687"
