"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR6299288","SRR16296743","SRR13389664","SRR21503337","SRR10356381","SRR14035977","SRR19087053","SRR10771075","SRR20634176","SRR6760557","SRR16301457","SRR21160288","SRR5459567","SRR19753070","SRR16848671"
"fhlA","","Formate hydrogenlyase transcriptional activator",664,664,1,1,2654,NA,NA,"",1163,2078,2076,"GKFDHGCC_00170","GFIBMCBM_00499","PAHHNOFG_01245","JKCCPMCP_00917","BPJOIGOJ_01903","FIGMNBDN_01099","IAACNIFC_01245","LKMFKODD_02725","BKJJBPEM_00498","JEHGDFOF_02151","HLHKEEEF_00499","EELIMEMB_00105","BMIOIPEK_01648","ICFLAJGJ_01787","HBNMBAMF_01246"
"hypB","","Hydrogenase maturation factor HypB",664,664,1,1,2649,NA,NA,"",545,872,871,"GKFDHGCC_00166","GFIBMCBM_00503","PAHHNOFG_01249","JKCCPMCP_00913","BPJOIGOJ_01907","FIGMNBDN_01095","IAACNIFC_01249","LKMFKODD_02730","BKJJBPEM_00502","JEHGDFOF_02155","HLHKEEEF_00503","EELIMEMB_00101","BMIOIPEK_01644","ICFLAJGJ_01791","HBNMBAMF_01250"
"yqaA","","Inner membrane protein YqaA",664,664,1,1,2616,NA,NA,"",281,425,424,"GKFDHGCC_00129","GFIBMCBM_00540","PAHHNOFG_01286","JKCCPMCP_00876","BPJOIGOJ_01944","FIGMNBDN_01058","IAACNIFC_01286","LKMFKODD_02767","BKJJBPEM_00539","JEHGDFOF_02192","HLHKEEEF_00540","EELIMEMB_00065","BMIOIPEK_01607","ICFLAJGJ_01828","HBNMBAMF_01287"
"tctD","","Transcriptional regulatory protein tctD",664,664,1,1,2577,NA,NA,"",332,674,673,"GKFDHGCC_00092","GFIBMCBM_00577","PAHHNOFG_01323","JKCCPMCP_00839","BPJOIGOJ_01981","FIGMNBDN_01021","IAACNIFC_01323","LKMFKODD_02804","BKJJBPEM_00576","JEHGDFOF_02229","HLHKEEEF_00577","EELIMEMB_00028","BMIOIPEK_03464","ICFLAJGJ_01865","HBNMBAMF_01324"
"yhaJ_2","","HTH-type transcriptional regulator YhaJ",664,664,1,1,5916,NA,NA,"",626,914,913,"GKFDHGCC_03528","GFIBMCBM_03576","PAHHNOFG_03244","JKCCPMCP_03398","BPJOIGOJ_02145","FIGMNBDN_03848","IAACNIFC_03195","LKMFKODD_03926","BKJJBPEM_03508","JEHGDFOF_03402","HLHKEEEF_03568","EELIMEMB_03274","BMIOIPEK_02833","ICFLAJGJ_02799","HBNMBAMF_03525"
"wzzB","","Chain length determinant protein",664,664,1,1,5926,NA,NA,"",743,983,982,"GKFDHGCC_03538","GFIBMCBM_03586","PAHHNOFG_03234","JKCCPMCP_03388","BPJOIGOJ_02155","FIGMNBDN_03858","IAACNIFC_03205","LKMFKODD_03936","BKJJBPEM_03498","JEHGDFOF_03412","HLHKEEEF_03558","EELIMEMB_03284","BMIOIPEK_02823","ICFLAJGJ_02789","HBNMBAMF_03535"
"group_1037","","hypothetical protein",664,664,1,1,5953,NA,NA,"",1004,1403,1402,"GKFDHGCC_03559","GFIBMCBM_03607","PAHHNOFG_03212","JKCCPMCP_03367","BPJOIGOJ_02176","FIGMNBDN_03425","IAACNIFC_03226","LKMFKODD_03403","BKJJBPEM_03477","JEHGDFOF_03433","HLHKEEEF_03537","EELIMEMB_03305","BMIOIPEK_02348","ICFLAJGJ_02768","HBNMBAMF_03556"
"gtfA","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit",664,664,1,1,5954,NA,NA,"",281,1220,1218,"GKFDHGCC_03560","GFIBMCBM_03608","PAHHNOFG_03211","JKCCPMCP_03366","BPJOIGOJ_02177","FIGMNBDN_03424","IAACNIFC_03227","LKMFKODD_03402","BKJJBPEM_03476","JEHGDFOF_03434","HLHKEEEF_03536","EELIMEMB_03306","BMIOIPEK_02347","ICFLAJGJ_02767","HBNMBAMF_03557"
"manC1","","Mannose-1-phosphate guanylyltransferase 1",664,664,1,1,5960,NA,NA,"",1073,1436,1433,"GKFDHGCC_03565","GFIBMCBM_03613","PAHHNOFG_03206","JKCCPMCP_03361","BPJOIGOJ_02182","FIGMNBDN_03419","IAACNIFC_03232","LKMFKODD_03397","BKJJBPEM_03471","JEHGDFOF_03439","HLHKEEEF_03531","EELIMEMB_03311","BMIOIPEK_02342","ICFLAJGJ_02762","HBNMBAMF_03562"
"mdtB","","Multidrug resistance protein MdtB",664,664,1,1,6116,NA,NA,"",494,3122,3116,"GKFDHGCC_03590","GFIBMCBM_03638","PAHHNOFG_03181","JKCCPMCP_03336","BPJOIGOJ_02207","FIGMNBDN_03394","IAACNIFC_03257","LKMFKODD_03372","BKJJBPEM_03446","JEHGDFOF_03464","HLHKEEEF_03506","EELIMEMB_03336","BMIOIPEK_02317","ICFLAJGJ_02737","HBNMBAMF_03587"
