"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14525658","SRR9102689","SRR19093987","SRR13455266","SRR18583995","SRR14308540","SRR17006590","SRR16314412","SRR13389652","SRR18605002","SRR17221635","SRR14498227","SRR8889049","SRR15064717","SRR17400123"
"fhlA","","Formate hydrogenlyase transcriptional activator",664,664,1,1,2654,NA,NA,"",1163,2078,2076,"LHLBKOPI_02650","LBCIGIJM_00170","CMLEAANI_01240","AKPGFOOG_00170","DNODJMLP_03410","IDKGFOBD_00849","FNGBGALN_03533","IACKOOJH_00059","KLPNHEON_02571","KHCEFAHD_00499","MDPJAKLK_02568","MILCBFEN_01420","IHJMGDCB_00583","FAJPOAEC_03483","PKAMHOJN_01245"
"hypB","","Hydrogenase maturation factor HypB",664,664,1,1,2649,NA,NA,"",545,872,871,"LHLBKOPI_02654","LBCIGIJM_00166","CMLEAANI_01244","AKPGFOOG_00166","DNODJMLP_03414","IDKGFOBD_00853","FNGBGALN_03537","IACKOOJH_00055","KLPNHEON_02575","KHCEFAHD_00503","MDPJAKLK_02572","MILCBFEN_01416","IHJMGDCB_00579","FAJPOAEC_03487","PKAMHOJN_01249"
"yqaA","","Inner membrane protein YqaA",664,664,1,1,2616,NA,NA,"",281,425,424,"LHLBKOPI_02691","LBCIGIJM_00129","CMLEAANI_01281","AKPGFOOG_00129","DNODJMLP_03451","IDKGFOBD_00890","FNGBGALN_03574","IACKOOJH_00018","KLPNHEON_02612","KHCEFAHD_00540","MDPJAKLK_02609","MILCBFEN_01379","IHJMGDCB_00544","FAJPOAEC_03524","PKAMHOJN_01286"
"tctD","","Transcriptional regulatory protein tctD",664,664,1,1,2577,NA,NA,"",332,674,673,"LHLBKOPI_02728","LBCIGIJM_00092","CMLEAANI_01318","AKPGFOOG_00092","DNODJMLP_03488","IDKGFOBD_00927","FNGBGALN_03611","IACKOOJH_04362","KLPNHEON_02649","KHCEFAHD_00577","MDPJAKLK_02646","MILCBFEN_03629","IHJMGDCB_00507","FAJPOAEC_03561","PKAMHOJN_01323"
"yhaJ_2","","HTH-type transcriptional regulator YhaJ",664,664,1,1,5916,NA,NA,"",626,914,913,"LHLBKOPI_02891","LBCIGIJM_02524","CMLEAANI_03574","AKPGFOOG_03907","DNODJMLP_03143","IDKGFOBD_03339","FNGBGALN_03278","IACKOOJH_02345","KLPNHEON_03572","KHCEFAHD_03452","MDPJAKLK_03567","MILCBFEN_04282","IHJMGDCB_03663","FAJPOAEC_03292","PKAMHOJN_03198"
"wzzB","","Chain length determinant protein",664,664,1,1,5926,NA,NA,"",743,983,982,"LHLBKOPI_02901","LBCIGIJM_02534","CMLEAANI_03584","AKPGFOOG_03897","DNODJMLP_03153","IDKGFOBD_03329","FNGBGALN_03268","IACKOOJH_02355","KLPNHEON_03562","KHCEFAHD_03462","MDPJAKLK_03557","MILCBFEN_04272","IHJMGDCB_03673","FAJPOAEC_03282","PKAMHOJN_03208"
"group_1037","","hypothetical protein",664,664,1,1,5953,NA,NA,"",1004,1403,1402,"LHLBKOPI_02922","LBCIGIJM_02555","CMLEAANI_03605","AKPGFOOG_03209","DNODJMLP_03174","IDKGFOBD_02927","FNGBGALN_03247","IACKOOJH_02376","KLPNHEON_03541","KHCEFAHD_03483","MDPJAKLK_03536","MILCBFEN_02970","IHJMGDCB_02350","FAJPOAEC_03261","PKAMHOJN_03229"
"gtfA","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit",664,664,1,1,5954,NA,NA,"",281,1220,1218,"LHLBKOPI_02923","LBCIGIJM_02556","CMLEAANI_03606","AKPGFOOG_03210","DNODJMLP_03175","IDKGFOBD_02926","FNGBGALN_03246","IACKOOJH_02377","KLPNHEON_03540","KHCEFAHD_03484","MDPJAKLK_03535","MILCBFEN_02969","IHJMGDCB_02351","FAJPOAEC_03260","PKAMHOJN_03230"
"manC1","","Mannose-1-phosphate guanylyltransferase 1",664,664,1,1,5960,NA,NA,"",1073,1436,1433,"LHLBKOPI_02928","LBCIGIJM_02561","CMLEAANI_03611","AKPGFOOG_03215","DNODJMLP_03180","IDKGFOBD_02921","FNGBGALN_03241","IACKOOJH_02382","KLPNHEON_03535","KHCEFAHD_03489","MDPJAKLK_03530","MILCBFEN_02964","IHJMGDCB_02356","FAJPOAEC_03255","PKAMHOJN_03235"
"mdtB","","Multidrug resistance protein MdtB",664,664,1,1,6116,NA,NA,"",494,3122,3116,"LHLBKOPI_02953","LBCIGIJM_02586","CMLEAANI_03636","AKPGFOOG_03240","DNODJMLP_03205","IDKGFOBD_02896","FNGBGALN_03216","IACKOOJH_02407","KLPNHEON_03510","KHCEFAHD_03514","MDPJAKLK_03505","MILCBFEN_02939","IHJMGDCB_02381","FAJPOAEC_03230","PKAMHOJN_03260"
