"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR12828263","SRR6351094","SRR2925330","SRR14128233","SRR10286960","SRR8136963","SRR14084280","SRR12828251","SRR3115243","SRR22822785","SRR17295731","SRR17066835","SRR13859350","SRR15539451","SRR3173528"
"group_1006","","hypothetical protein",905,905,1,1,2498,NA,NA,"",1823,2168,2165,"CNGMCOPD_03243","EPGMJAIH_04514","CLEJEKBP_03304","JNAHKABP_04480","JBPCGFIM_04346","HCLABDPE_04554","GAJMJKLD_02355","NBFDAGGA_03232","OLMMPFKO_03742","DEDMBNNH_04478","IMCHJENK_04557","NHPBLADE_04366","APCEJHGD_03346","OBNGMFFD_04583","EDPHECHL_03486"
"papC_3","","Outer membrane usher protein PapC",905,905,1,1,997,NA,NA,"",2057,2657,2656,"CNGMCOPD_03362","EPGMJAIH_03600","CLEJEKBP_03691","JNAHKABP_02560","JBPCGFIM_03444","HCLABDPE_04377","GAJMJKLD_04332","NBFDAGGA_03788","OLMMPFKO_02048","DEDMBNNH_03064","IMCHJENK_04144","NHPBLADE_04213","APCEJHGD_01988","OBNGMFFD_04118","EDPHECHL_03554"
"yfcO","","putative protein YfcO",905,905,1,1,992,NA,NA,"",734,842,841,"CNGMCOPD_03357","EPGMJAIH_03605","CLEJEKBP_03686","JNAHKABP_02555","JBPCGFIM_03439","HCLABDPE_04382","GAJMJKLD_04327","NBFDAGGA_03793","OLMMPFKO_02053","DEDMBNNH_03059","IMCHJENK_04149","NHPBLADE_04218","APCEJHGD_01993","OBNGMFFD_04113","EDPHECHL_03549"
"group_1013","","hypothetical protein",905,905,1,1,988,NA,NA,"",362,689,622,"CNGMCOPD_03353","EPGMJAIH_03609","CLEJEKBP_03682","JNAHKABP_02551","JBPCGFIM_03435","HCLABDPE_04386","GAJMJKLD_04323","NBFDAGGA_03797","OLMMPFKO_02057","DEDMBNNH_03055","IMCHJENK_04153","NHPBLADE_04222","APCEJHGD_01997","OBNGMFFD_04109","EDPHECHL_03545"
"abaF","","Fosfomycin resistance protein AbaF",905,905,1,1,979,NA,NA,"",803,1301,804,"CNGMCOPD_03345","EPGMJAIH_03617","CLEJEKBP_03674","JNAHKABP_02543","JBPCGFIM_03427","HCLABDPE_04394","GAJMJKLD_04315","NBFDAGGA_03805","OLMMPFKO_02065","DEDMBNNH_03047","IMCHJENK_04161","NHPBLADE_04230","APCEJHGD_02005","OBNGMFFD_04101","EDPHECHL_03537"
"ldcC","","Constitutive lysine decarboxylase",905,905,1,1,956,NA,NA,"",1370,2141,2139,"CNGMCOPD_03322","EPGMJAIH_03640","CLEJEKBP_03651","JNAHKABP_02520","JBPCGFIM_03404","HCLABDPE_04417","GAJMJKLD_04292","NBFDAGGA_03828","OLMMPFKO_02088","DEDMBNNH_03024","IMCHJENK_04184","NHPBLADE_04253","APCEJHGD_02028","OBNGMFFD_04078","EDPHECHL_03514"
"group_1042","","putative signaling protein",905,905,1,1,1158,NA,NA,"",1100,2099,2097,"CNGMCOPD_04422","EPGMJAIH_04420","CLEJEKBP_04424","JNAHKABP_03414","JBPCGFIM_04386","HCLABDPE_04439","GAJMJKLD_04580","NBFDAGGA_04381","OLMMPFKO_04355","DEDMBNNH_04490","IMCHJENK_04447","NHPBLADE_04275","APCEJHGD_04449","OBNGMFFD_04338","EDPHECHL_04513"
"malG","","Maltose/maltodextrin transport system permease protein MalG",905,905,1,1,913,NA,NA,"",515,890,889,"CNGMCOPD_01180","EPGMJAIH_03204","CLEJEKBP_01258","JNAHKABP_03865","JBPCGFIM_01083","HCLABDPE_00986","GAJMJKLD_01829","NBFDAGGA_00903","OLMMPFKO_03952","DEDMBNNH_04242","IMCHJENK_00420","NHPBLADE_04183","APCEJHGD_03945","OBNGMFFD_04035","EDPHECHL_04060"
"lamB","","Maltoporin",905,905,1,1,4755,NA,NA,"",644,1358,1347,"CNGMCOPD_01184","EPGMJAIH_03200","CLEJEKBP_01262","JNAHKABP_03861","JBPCGFIM_01079","HCLABDPE_00982","GAJMJKLD_01833","NBFDAGGA_00899","OLMMPFKO_03948","DEDMBNNH_04238","IMCHJENK_00416","NHPBLADE_04187","APCEJHGD_03949","OBNGMFFD_04039","EDPHECHL_04064"
"chuR_2","","Anaerobic sulfatase-maturating enzyme",905,905,1,1,5840,NA,NA,"",965,1190,1189,"CNGMCOPD_01581","EPGMJAIH_03985","CLEJEKBP_01657","JNAHKABP_04008","JBPCGFIM_00685","HCLABDPE_00587","GAJMJKLD_03749","NBFDAGGA_00503","OLMMPFKO_01086","DEDMBNNH_01459","IMCHJENK_00019","NHPBLADE_02592","APCEJHGD_02803","OBNGMFFD_04440","EDPHECHL_02082"
"yjgN_1","","Inner membrane protein YjgN",905,905,1,1,4988,NA,NA,"",752,848,847,"CNGMCOPD_01404","EPGMJAIH_02980","CLEJEKBP_01481","JNAHKABP_04270","JBPCGFIM_00861","HCLABDPE_00763","GAJMJKLD_02052","NBFDAGGA_00680","OLMMPFKO_01262","DEDMBNNH_01636","IMCHJENK_00197","NHPBLADE_02203","APCEJHGD_02285","OBNGMFFD_02648","EDPHECHL_02258"
"group_1092","","hypothetical protein",905,905,1,1,2437,NA,NA,"",698,974,973,"CNGMCOPD_03294","EPGMJAIH_04609","CLEJEKBP_03357","JNAHKABP_04141","JBPCGFIM_04295","HCLABDPE_04589","GAJMJKLD_02406","NBFDAGGA_03284","OLMMPFKO_04465","DEDMBNNH_04426","IMCHJENK_04517","NHPBLADE_04417","APCEJHGD_03398","OBNGMFFD_04527","EDPHECHL_04639"
"aceB","","Malate synthase A",905,905,1,1,889,NA,NA,"",1298,1601,1598,"CNGMCOPD_01156","EPGMJAIH_03228","CLEJEKBP_01234","JNAHKABP_04178","JBPCGFIM_01107","HCLABDPE_01010","GAJMJKLD_01805","NBFDAGGA_00927","OLMMPFKO_03976","DEDMBNNH_04266","IMCHJENK_00444","NHPBLADE_04159","APCEJHGD_03921","OBNGMFFD_04011","EDPHECHL_04036"
