"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14198814","SRR4841710","SRR16956553","SRR17563075","SRR14738801","SRR14832437","SRR5659559","SRR19612807","SRR16956559","SRR13246829","SRR5486500","SRR13729864","SRR7294325","SRR17735554","SRR6715741"
"fhlA","","Formate hydrogenlyase transcriptional activator",664,664,1,1,2654,NA,NA,"",1163,2078,2076,"DMPEEDGD_01603","CKFNJDDJ_00170","FDNLDDLE_00170","LBPILBJI_02467","AECENLDP_03580","CHDLMNOI_03201","PBGCBKEA_00170","EMCHPOPO_01246","IEPIMJMD_00500","CCMMOGGE_04054","ENJAFOLJ_00170","NGOMIDKP_00500","LPLHOHMN_00499","BNHLGGIG_00170","JOJAOKLM_00170"
"hypB","","Hydrogenase maturation factor HypB",664,664,1,1,2649,NA,NA,"",545,872,871,"DMPEEDGD_01607","CKFNJDDJ_00166","FDNLDDLE_00166","LBPILBJI_02471","AECENLDP_03584","CHDLMNOI_03197","PBGCBKEA_00166","EMCHPOPO_01250","IEPIMJMD_00504","CCMMOGGE_04050","ENJAFOLJ_00166","NGOMIDKP_00504","LPLHOHMN_00503","BNHLGGIG_00166","JOJAOKLM_00166"
"yqaA","","Inner membrane protein YqaA",664,664,1,1,2616,NA,NA,"",281,425,424,"DMPEEDGD_01644","CKFNJDDJ_00129","FDNLDDLE_00129","LBPILBJI_02508","AECENLDP_03621","CHDLMNOI_03160","PBGCBKEA_00129","EMCHPOPO_01287","IEPIMJMD_00541","CCMMOGGE_03601","ENJAFOLJ_00129","NGOMIDKP_00540","LPLHOHMN_00540","BNHLGGIG_00129","JOJAOKLM_00129"
"tctD","","Transcriptional regulatory protein tctD",664,664,1,1,2577,NA,NA,"",332,674,673,"DMPEEDGD_03967","CKFNJDDJ_00092","FDNLDDLE_00092","LBPILBJI_02545","AECENLDP_03659","CHDLMNOI_03123","PBGCBKEA_00092","EMCHPOPO_01324","IEPIMJMD_00578","CCMMOGGE_03638","ENJAFOLJ_00092","NGOMIDKP_00577","LPLHOHMN_00577","BNHLGGIG_00092","JOJAOKLM_00092"
"yhaJ_2","","HTH-type transcriptional regulator YhaJ",664,664,1,1,5916,NA,NA,"",626,914,913,"DMPEEDGD_04286","CKFNJDDJ_03925","FDNLDDLE_02840","LBPILBJI_03062","AECENLDP_03280","CHDLMNOI_02885","PBGCBKEA_03606","EMCHPOPO_03197","IEPIMJMD_02149","CCMMOGGE_02040","ENJAFOLJ_03048","NGOMIDKP_03289","LPLHOHMN_03501","BNHLGGIG_03489","JOJAOKLM_03314"
"wzzB","","Chain length determinant protein",664,664,1,1,5926,NA,NA,"",743,983,982,"DMPEEDGD_04276","CKFNJDDJ_03915","FDNLDDLE_02830","LBPILBJI_03072","AECENLDP_03270","CHDLMNOI_02895","PBGCBKEA_03616","EMCHPOPO_03207","IEPIMJMD_02139","CCMMOGGE_02030","ENJAFOLJ_03038","NGOMIDKP_03279","LPLHOHMN_03511","BNHLGGIG_03479","JOJAOKLM_03324"
"group_1037","","hypothetical protein",664,664,1,1,5953,NA,NA,"",1004,1403,1402,"DMPEEDGD_02978","CKFNJDDJ_03751","FDNLDDLE_02809","LBPILBJI_03093","AECENLDP_03249","CHDLMNOI_02917","PBGCBKEA_03637","EMCHPOPO_03228","IEPIMJMD_02118","CCMMOGGE_02009","ENJAFOLJ_03017","NGOMIDKP_03258","LPLHOHMN_03532","BNHLGGIG_03458","JOJAOKLM_03345"
"gtfA","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit",664,664,1,1,5954,NA,NA,"",281,1220,1218,"DMPEEDGD_02977","CKFNJDDJ_03750","FDNLDDLE_02808","LBPILBJI_03094","AECENLDP_03248","CHDLMNOI_02918","PBGCBKEA_03638","EMCHPOPO_03229","IEPIMJMD_02117","CCMMOGGE_02008","ENJAFOLJ_03016","NGOMIDKP_03257","LPLHOHMN_03533","BNHLGGIG_03457","JOJAOKLM_03346"
"manC1","","Mannose-1-phosphate guanylyltransferase 1",664,664,1,1,5960,NA,NA,"",1073,1436,1433,"DMPEEDGD_02972","CKFNJDDJ_03745","FDNLDDLE_02803","LBPILBJI_03099","AECENLDP_03243","CHDLMNOI_02923","PBGCBKEA_03643","EMCHPOPO_03234","IEPIMJMD_02112","CCMMOGGE_02003","ENJAFOLJ_03011","NGOMIDKP_03252","LPLHOHMN_03538","BNHLGGIG_03452","JOJAOKLM_03351"
"mdtB","","Multidrug resistance protein MdtB",664,664,1,1,6116,NA,NA,"",494,3122,3116,"DMPEEDGD_02947","CKFNJDDJ_03720","FDNLDDLE_02778","LBPILBJI_03124","AECENLDP_03218","CHDLMNOI_02948","PBGCBKEA_03668","EMCHPOPO_03259","IEPIMJMD_02087","CCMMOGGE_01978","ENJAFOLJ_02986","NGOMIDKP_03227","LPLHOHMN_03563","BNHLGGIG_03427","JOJAOKLM_03376"
"dld","","Quinone-dependent D-lactate dehydrogenase",664,664,1,1,6073,NA,NA,"",1310,1730,1728,"DMPEEDGD_03290","CKFNJDDJ_03680","FDNLDDLE_02738","LBPILBJI_03164","AECENLDP_03178","CHDLMNOI_02988","PBGCBKEA_04051","EMCHPOPO_03299","IEPIMJMD_02047","CCMMOGGE_01938","ENJAFOLJ_02946","NGOMIDKP_03187","LPLHOHMN_03603","BNHLGGIG_03387","JOJAOKLM_03416"
"bcr","","Bicyclomycin resistance protein",664,664,1,1,6014,NA,NA,"",884,1190,1187,"DMPEEDGD_04205","CKFNJDDJ_03625","FDNLDDLE_02683","LBPILBJI_03218","AECENLDP_03123","CHDLMNOI_03042","PBGCBKEA_03996","EMCHPOPO_03353","IEPIMJMD_01992","CCMMOGGE_01883","ENJAFOLJ_02891","NGOMIDKP_03132","LPLHOHMN_03658","BNHLGGIG_03332","JOJAOKLM_03471"
"dsbA_1","","hypothetical protein",664,664,1,1,3812,NA,NA,"",572,665,652,"DMPEEDGD_04577","CKFNJDDJ_00945","FDNLDDLE_04090","LBPILBJI_01428","AECENLDP_00654","CHDLMNOI_00168","PBGCBKEA_03350","EMCHPOPO_02068","IEPIMJMD_03555","CCMMOGGE_02808","ENJAFOLJ_00836","NGOMIDKP_01876","LPLHOHMN_01430","BNHLGGIG_01431","JOJAOKLM_00944"
"group_1104","","hypothetical protein",664,664,1,1,3273,NA,NA,"",935,1127,1093,"DMPEEDGD_01663","CKFNJDDJ_01023","FDNLDDLE_04168","LBPILBJI_01506","AECENLDP_00576","CHDLMNOI_00090","PBGCBKEA_03428","EMCHPOPO_01990","IEPIMJMD_03633","CCMMOGGE_02887","ENJAFOLJ_00758","NGOMIDKP_03971","LPLHOHMN_01508","BNHLGGIG_01509","JOJAOKLM_01022"
