"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR11068404","SRR7041896","SRR1411125","SRR14766396","SRR14272159","NDSU28","SRR9301046","SRR1556977","SRR5666360","SRR13001984","SRR14766435","SRR5928137","SRR14766343","SRR2994392","SRR18233394"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"NHHFDHOA_01027","LNFOPOPD_00590","LNNOOKGB_03174","OHGNPAHP_00310","GLJEHEMI_01749","KBLPGKMM_03600","FIBKOHBH_01375","KLKGDDID_02579","KHAGAGIB_00239","DLEBNIDD_03120","IJNFKBKA_01630","FHJCNOBE_00176","CLBIFFHN_03954","FBFFAOJI_02177","BCOIPCNK_02088"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"NHHFDHOA_00927","LNFOPOPD_00489","LNNOOKGB_03702","OHGNPAHP_00411","GLJEHEMI_01849","KBLPGKMM_04181","FIBKOHBH_03421","KLKGDDID_04523","KHAGAGIB_00339","DLEBNIDD_02145","IJNFKBKA_03060","FHJCNOBE_00076","CLBIFFHN_03999","FBFFAOJI_04055","BCOIPCNK_03133"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"NHHFDHOA_04316","LNFOPOPD_04285","LNNOOKGB_02528","OHGNPAHP_04142","GLJEHEMI_04015","KBLPGKMM_02267","FIBKOHBH_04289","KLKGDDID_03720","KHAGAGIB_04143","DLEBNIDD_03741","IJNFKBKA_03862","FHJCNOBE_04388","CLBIFFHN_02838","FBFFAOJI_03012","BCOIPCNK_04092"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"NHHFDHOA_03133","LNFOPOPD_03699","LNNOOKGB_03082","OHGNPAHP_03837","GLJEHEMI_04101","KBLPGKMM_02889","FIBKOHBH_02676","KLKGDDID_04077","KHAGAGIB_03201","DLEBNIDD_03195","IJNFKBKA_01789","FHJCNOBE_03267","CLBIFFHN_03164","FBFFAOJI_03594","BCOIPCNK_03538"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"NHHFDHOA_03138","LNFOPOPD_03704","LNNOOKGB_03077","OHGNPAHP_03842","GLJEHEMI_04106","KBLPGKMM_02884","FIBKOHBH_02671","KLKGDDID_04072","KHAGAGIB_03196","DLEBNIDD_03200","IJNFKBKA_01784","FHJCNOBE_03262","CLBIFFHN_03086","FBFFAOJI_03599","BCOIPCNK_03533"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"NHHFDHOA_03196","LNFOPOPD_04351","LNNOOKGB_03019","OHGNPAHP_03900","GLJEHEMI_04164","KBLPGKMM_02826","FIBKOHBH_02613","KLKGDDID_04013","KHAGAGIB_03138","DLEBNIDD_03791","IJNFKBKA_01726","FHJCNOBE_03204","CLBIFFHN_04457","FBFFAOJI_03657","BCOIPCNK_04158"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"NHHFDHOA_03232","LNFOPOPD_04387","LNNOOKGB_02983","OHGNPAHP_03936","GLJEHEMI_04200","KBLPGKMM_02790","FIBKOHBH_02577","KLKGDDID_03977","KHAGAGIB_03102","DLEBNIDD_03755","IJNFKBKA_01690","FHJCNOBE_03168","CLBIFFHN_03007","FBFFAOJI_03693","BCOIPCNK_04194"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"NHHFDHOA_04032","LNFOPOPD_04004","LNNOOKGB_04073","OHGNPAHP_04442","GLJEHEMI_04301","KBLPGKMM_03249","FIBKOHBH_03880","KLKGDDID_04197","KHAGAGIB_03953","DLEBNIDD_03398","IJNFKBKA_03597","FHJCNOBE_04224","CLBIFFHN_02175","FBFFAOJI_04255","BCOIPCNK_03810"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"NHHFDHOA_03976","LNFOPOPD_04060","LNNOOKGB_04017","OHGNPAHP_04386","GLJEHEMI_04357","KBLPGKMM_03305","FIBKOHBH_03824","KLKGDDID_04253","KHAGAGIB_04009","DLEBNIDD_03454","IJNFKBKA_03541","FHJCNOBE_04168","CLBIFFHN_02119","FBFFAOJI_04199","BCOIPCNK_03866"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"NHHFDHOA_02904","LNFOPOPD_03558","LNNOOKGB_02429","OHGNPAHP_04237","GLJEHEMI_04497","KBLPGKMM_02367","FIBKOHBH_02524","KLKGDDID_03620","KHAGAGIB_03049","DLEBNIDD_01699","IJNFKBKA_02008","FHJCNOBE_03115","CLBIFFHN_04390","FBFFAOJI_03112","BCOIPCNK_02416"
