"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR2043690","SRR18944328","SRR17074264","SRR13938825","SRR14200992","SRR13575014","SRR14965943","SRR6766175","SRR6489807","SRR15419037","SRR10395059","SRR18914151","SRR6334804","SRR6114323","SRR18101285"
"fhlA","","Formate hydrogenlyase transcriptional activator",664,664,1,1,2654,NA,NA,"",1163,2078,2076,"NHMALEOL_00499","NABLHPJL_00974","KICCKEFE_00170","DMCCMNGK_01941","DJBCBOFK_00105","OCFPGPNG_01241","AHGFGHOM_01787","ADDIIODH_02052","GJBOFOHE_01600","AGKAFDHP_02559","LIBJHEAM_02032","JMGOHNCF_00498","NLKIMHOO_01024","NEIABCCD_02231","ECGOEION_00058"
"hypB","","Hydrogenase maturation factor HypB",664,664,1,1,2649,NA,NA,"",545,872,871,"NHMALEOL_00503","NABLHPJL_00970","KICCKEFE_00166","DMCCMNGK_01945","DJBCBOFK_00101","OCFPGPNG_01245","AHGFGHOM_01791","ADDIIODH_02056","GJBOFOHE_01604","AGKAFDHP_02555","LIBJHEAM_02028","JMGOHNCF_00502","NLKIMHOO_01028","NEIABCCD_02227","ECGOEION_00054"
"yqaA","","Inner membrane protein YqaA",664,664,1,1,2616,NA,NA,"",281,425,424,"NHMALEOL_00540","NABLHPJL_00933","KICCKEFE_00129","DMCCMNGK_01982","DJBCBOFK_00065","OCFPGPNG_01282","AHGFGHOM_01828","ADDIIODH_02093","GJBOFOHE_01639","AGKAFDHP_02518","LIBJHEAM_01991","JMGOHNCF_00538","NLKIMHOO_01065","NEIABCCD_02190","ECGOEION_00018"
"tctD","","Transcriptional regulatory protein tctD",664,664,1,1,2577,NA,NA,"",332,674,673,"NHMALEOL_00577","NABLHPJL_00896","KICCKEFE_00092","DMCCMNGK_02019","DJBCBOFK_00028","OCFPGPNG_01319","AHGFGHOM_01865","ADDIIODH_02130","GJBOFOHE_01676","AGKAFDHP_02481","LIBJHEAM_01954","JMGOHNCF_04261","NLKIMHOO_01102","NEIABCCD_02153","ECGOEION_04179"
"yhaJ_2","","HTH-type transcriptional regulator YhaJ",664,664,1,1,5916,NA,NA,"",626,914,913,"NHMALEOL_03452","NABLHPJL_02698","KICCKEFE_02998","DMCCMNGK_03440","DJBCBOFK_03459","OCFPGPNG_03043","AHGFGHOM_03634","ADDIIODH_01878","GJBOFOHE_03442","AGKAFDHP_02218","LIBJHEAM_04416","JMGOHNCF_03385","NLKIMHOO_03606","NEIABCCD_03526","ECGOEION_03345"
"wzzB","","Chain length determinant protein",664,664,1,1,5926,NA,NA,"",743,983,982,"NHMALEOL_03462","NABLHPJL_02688","KICCKEFE_02988","DMCCMNGK_03450","DJBCBOFK_03469","OCFPGPNG_03033","AHGFGHOM_03644","ADDIIODH_01868","GJBOFOHE_03452","AGKAFDHP_02228","LIBJHEAM_04406","JMGOHNCF_03395","NLKIMHOO_03596","NEIABCCD_03536","ECGOEION_03335"
"group_1037","","hypothetical protein",664,664,1,1,5953,NA,NA,"",1004,1403,1402,"NHMALEOL_03483","NABLHPJL_02667","KICCKEFE_02967","DMCCMNGK_03471","DJBCBOFK_03490","OCFPGPNG_03012","AHGFGHOM_03665","ADDIIODH_01847","GJBOFOHE_03473","AGKAFDHP_02249","LIBJHEAM_02696","JMGOHNCF_03416","NLKIMHOO_02114","NEIABCCD_03557","ECGOEION_03314"
"gtfA","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit",664,664,1,1,5954,NA,NA,"",281,1220,1218,"NHMALEOL_03484","NABLHPJL_02666","KICCKEFE_02966","DMCCMNGK_03472","DJBCBOFK_03491","OCFPGPNG_03011","AHGFGHOM_03666","ADDIIODH_01846","GJBOFOHE_03474","AGKAFDHP_02250","LIBJHEAM_02697","JMGOHNCF_03417","NLKIMHOO_02113","NEIABCCD_03558","ECGOEION_03313"
"manC1","","Mannose-1-phosphate guanylyltransferase 1",664,664,1,1,5960,NA,NA,"",1073,1436,1433,"NHMALEOL_03489","NABLHPJL_02661","KICCKEFE_02961","DMCCMNGK_03477","DJBCBOFK_03496","OCFPGPNG_03006","AHGFGHOM_03671","ADDIIODH_01841","GJBOFOHE_03479","AGKAFDHP_02255","LIBJHEAM_02702","JMGOHNCF_03422","NLKIMHOO_02108","NEIABCCD_03563","ECGOEION_03308"
"mdtB","","Multidrug resistance protein MdtB",664,664,1,1,6116,NA,NA,"",494,3122,3116,"NHMALEOL_03514","NABLHPJL_02636","KICCKEFE_02936","DMCCMNGK_03502","DJBCBOFK_03522","OCFPGPNG_02981","AHGFGHOM_03696","ADDIIODH_01816","GJBOFOHE_03504","AGKAFDHP_02280","LIBJHEAM_02727","JMGOHNCF_03447","NLKIMHOO_02083","NEIABCCD_03588","ECGOEION_03283"
"dld","","Quinone-dependent D-lactate dehydrogenase",664,664,1,1,6073,NA,NA,"",1310,1730,1728,"NHMALEOL_03554","NABLHPJL_02596","KICCKEFE_02896","DMCCMNGK_03542","DJBCBOFK_03562","OCFPGPNG_02941","AHGFGHOM_03736","ADDIIODH_01776","GJBOFOHE_03544","AGKAFDHP_02320","LIBJHEAM_02767","JMGOHNCF_03487","NLKIMHOO_02043","NEIABCCD_03628","ECGOEION_03243"
