"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR15217993","SRR13112133","SRR11488857","SRR8381575","SRR10465603","SRR12828266","SRR15613588","SRR16499299","SRR5762155","SRR17042235","SRR6933178","SRR2407619","SRR8606657","SRR12424439","SRR21683982"
"group_1006","","hypothetical protein",905,905,1,1,2498,NA,NA,"",1823,2168,2165,"LOABEEPI_04339","KAKBGEAC_04611","LLOJCCKC_04316","IKIPPCKN_02888","CCIIAJNB_02422","DIMJJOFL_04246","INIKNOAL_04440","ABKEBHGD_04475","PNGLFLGP_03500","KDAJPDOJ_04459","EMOPMENM_04176","NPIMOEJK_02776","KGJKNKMN_03533","KLADDGDE_04570","MJAJGLLG_04472"
"papC_3","","Outer membrane usher protein PapC",905,905,1,1,997,NA,NA,"",2057,2657,2656,"LOABEEPI_04038","KAKBGEAC_03073","LLOJCCKC_03993","IKIPPCKN_03443","CCIIAJNB_04253","DIMJJOFL_03948","INIKNOAL_03689","ABKEBHGD_03614","PNGLFLGP_04375","KDAJPDOJ_04054","EMOPMENM_02640","NPIMOEJK_04190","KGJKNKMN_03739","KLADDGDE_02840","MJAJGLLG_03915"
"yfcO","","putative protein YfcO",905,905,1,1,992,NA,NA,"",734,842,841,"LOABEEPI_04033","KAKBGEAC_03068","LLOJCCKC_03998","IKIPPCKN_03438","CCIIAJNB_04258","DIMJJOFL_03943","INIKNOAL_03684","ABKEBHGD_03619","PNGLFLGP_04370","KDAJPDOJ_04059","EMOPMENM_02645","NPIMOEJK_04185","KGJKNKMN_03744","KLADDGDE_02835","MJAJGLLG_03920"
"group_1013","","hypothetical protein",905,905,1,1,988,NA,NA,"",362,689,622,"LOABEEPI_04029","KAKBGEAC_03064","LLOJCCKC_04002","IKIPPCKN_03434","CCIIAJNB_04262","DIMJJOFL_03939","INIKNOAL_03680","ABKEBHGD_03623","PNGLFLGP_04366","KDAJPDOJ_04063","EMOPMENM_02649","NPIMOEJK_04181","KGJKNKMN_03748","KLADDGDE_02831","MJAJGLLG_03924"
"abaF","","Fosfomycin resistance protein AbaF",905,905,1,1,979,NA,NA,"",803,1301,804,"LOABEEPI_04021","KAKBGEAC_03056","LLOJCCKC_04010","IKIPPCKN_03426","CCIIAJNB_04270","DIMJJOFL_03931","INIKNOAL_03672","ABKEBHGD_03631","PNGLFLGP_04358","KDAJPDOJ_04071","EMOPMENM_02657","NPIMOEJK_04173","KGJKNKMN_03756","KLADDGDE_02823","MJAJGLLG_03932"
"ldcC","","Constitutive lysine decarboxylase",905,905,1,1,956,NA,NA,"",1370,2141,2139,"LOABEEPI_03998","KAKBGEAC_03033","LLOJCCKC_04033","IKIPPCKN_03403","CCIIAJNB_04293","DIMJJOFL_03908","INIKNOAL_03649","ABKEBHGD_03654","PNGLFLGP_04335","KDAJPDOJ_04094","EMOPMENM_02680","NPIMOEJK_04150","KGJKNKMN_03779","KLADDGDE_02800","MJAJGLLG_03955"
"group_1042","","putative signaling protein",905,905,1,1,1158,NA,NA,"",1100,2099,2097,"LOABEEPI_04176","KAKBGEAC_04404","LLOJCCKC_04536","IKIPPCKN_04427","CCIIAJNB_04403","DIMJJOFL_04415","INIKNOAL_03828","ABKEBHGD_03919","PNGLFLGP_04384","KDAJPDOJ_04283","EMOPMENM_03342","NPIMOEJK_04419","KGJKNKMN_04386","KLADDGDE_04386","MJAJGLLG_04181"
"malG","","Maltose/maltodextrin transport system permease protein MalG",905,905,1,1,913,NA,NA,"",515,890,889,"LOABEEPI_02618","KAKBGEAC_02548","LLOJCCKC_00412","IKIPPCKN_04365","CCIIAJNB_00418","DIMJJOFL_00419","INIKNOAL_03547","ABKEBHGD_03529","PNGLFLGP_00027","KDAJPDOJ_04024","EMOPMENM_02612","NPIMOEJK_04036","KGJKNKMN_01085","KLADDGDE_02540","MJAJGLLG_02878"
"lamB","","Maltoporin",905,905,1,1,4755,NA,NA,"",644,1358,1347,"LOABEEPI_02614","KAKBGEAC_02552","LLOJCCKC_00408","IKIPPCKN_04361","CCIIAJNB_00414","DIMJJOFL_00415","INIKNOAL_03551","ABKEBHGD_03533","PNGLFLGP_00031","KDAJPDOJ_04028","EMOPMENM_02608","NPIMOEJK_04040","KGJKNKMN_01081","KLADDGDE_02544","MJAJGLLG_02882"
"chuR_2","","Anaerobic sulfatase-maturating enzyme",905,905,1,1,5840,NA,NA,"",965,1190,1189,"LOABEEPI_04371","KAKBGEAC_03564","LLOJCCKC_00019","IKIPPCKN_01190","CCIIAJNB_00019","DIMJJOFL_00019","INIKNOAL_01710","ABKEBHGD_04230","PNGLFLGP_00426","KDAJPDOJ_00711","EMOPMENM_03749","NPIMOEJK_02968","KGJKNKMN_00687","KLADDGDE_03399","MJAJGLLG_04372"
