"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU8","SRR7041622","SRR27313648","SRR14766454","SRR28830416","SRR5905502","SRR27708439","SRR5905278","SRR1556962","SRR3000888","SRR5883584","SRR14766398","SRR14766355","SRR18233389","SRR5905019"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"CDDPGOFG_03367","KJAFDFOC_00687","MMJCEBPP_00979","DHLDAANJ_01677","KJPJOPGC_00845","ALBBHPCD_00843","JJJDFGFB_01587","PDACKNEK_00591","BILPJOLC_01721","HAJGLMEJ_01536","KOJKBHOL_01428","POCPDFCE_03379","KIGINCLF_03093","MCIBGAHP_03002","BIAKFFOC_02289"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"CDDPGOFG_01992","KJAFDFOC_02083","MMJCEBPP_01079","DHLDAANJ_02691","KJPJOPGC_00745","ALBBHPCD_00742","JJJDFGFB_01487","PDACKNEK_00490","BILPJOLC_01822","HAJGLMEJ_02994","KOJKBHOL_01528","POCPDFCE_02327","KIGINCLF_03738","MCIBGAHP_02902","BIAKFFOC_02766"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"CDDPGOFG_01834","KJAFDFOC_03655","MMJCEBPP_03841","DHLDAANJ_02142","KJPJOPGC_03760","ALBBHPCD_04284","JJJDFGFB_03765","PDACKNEK_04301","BILPJOLC_03716","HAJGLMEJ_03378","KOJKBHOL_04283","POCPDFCE_00544","KIGINCLF_03551","MCIBGAHP_03405","BIAKFFOC_01366"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"CDDPGOFG_02221","KJAFDFOC_02618","MMJCEBPP_04123","DHLDAANJ_04510","KJPJOPGC_04203","ALBBHPCD_03775","JJJDFGFB_04017","PDACKNEK_03448","BILPJOLC_04084","HAJGLMEJ_02263","KOJKBHOL_03860","POCPDFCE_01216","KIGINCLF_01894","MCIBGAHP_03926","BIAKFFOC_02873"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"CDDPGOFG_02226","KJAFDFOC_02613","MMJCEBPP_04128","DHLDAANJ_02779","KJPJOPGC_04198","ALBBHPCD_03780","JJJDFGFB_04012","PDACKNEK_03443","BILPJOLC_04089","HAJGLMEJ_02258","KOJKBHOL_03855","POCPDFCE_01165","KIGINCLF_01899","MCIBGAHP_03931","BIAKFFOC_02878"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"CDDPGOFG_02284","KJAFDFOC_03705","MMJCEBPP_04186","DHLDAANJ_02208","KJPJOPGC_04140","ALBBHPCD_03838","JJJDFGFB_03954","PDACKNEK_03385","BILPJOLC_04148","HAJGLMEJ_02200","KOJKBHOL_04349","POCPDFCE_01846","KIGINCLF_01957","MCIBGAHP_03989","BIAKFFOC_02936"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"CDDPGOFG_04022","KJAFDFOC_03669","MMJCEBPP_04222","DHLDAANJ_02244","KJPJOPGC_04104","ALBBHPCD_03874","JJJDFGFB_03918","PDACKNEK_04388","BILPJOLC_04184","HAJGLMEJ_02164","KOJKBHOL_04385","POCPDFCE_03248","KIGINCLF_01993","MCIBGAHP_04025","BIAKFFOC_04419"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"CDDPGOFG_04579","KJAFDFOC_03229","MMJCEBPP_04386","DHLDAANJ_01519","KJPJOPGC_04323","ALBBHPCD_04127","JJJDFGFB_04261","PDACKNEK_03861","BILPJOLC_04285","HAJGLMEJ_03518","KOJKBHOL_04056","POCPDFCE_03647","KIGINCLF_03292","MCIBGAHP_04189","BIAKFFOC_03446"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"CDDPGOFG_03618","KJAFDFOC_03173","MMJCEBPP_04330","DHLDAANJ_01575","KJPJOPGC_04379","ALBBHPCD_04183","JJJDFGFB_04317","PDACKNEK_03805","BILPJOLC_04341","HAJGLMEJ_03574","KOJKBHOL_04112","POCPDFCE_00655","KIGINCLF_03348","MCIBGAHP_04133","BIAKFFOC_03390"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"CDDPGOFG_03734","KJAFDFOC_01130","MMJCEBPP_03742","DHLDAANJ_01267","KJPJOPGC_03861","ALBBHPCD_03703","JJJDFGFB_03865","PDACKNEK_02937","BILPJOLC_03816","HAJGLMEJ_03231","KOJKBHOL_03708","POCPDFCE_03595","KIGINCLF_01764","MCIBGAHP_03505","BIAKFFOC_01267"
