"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR6158727","SRR4420897","SRR7130565","SRR13282187","SRR13785576","SRR7235692","SRR18595273","SRR6684997","SRR6881433","SRR19887556","SRR13430969","SRR6457616","SRR18963229","SRR7706339","SRR17918679"
"fhlA","","Formate hydrogenlyase transcriptional activator",664,664,1,1,2654,NA,NA,"",1163,2078,2076,"IGCOBCDP_01673","DDPCJJMO_01448","CJLNNBOF_03133","FAFOMODO_00171","NJJEKEOD_00170","IHODFCAL_02169","GBEJOMHJ_00499","NBDELGFA_00914","LMPALAJC_00500","JDBOJBPE_01431","NOHICHGJ_00106","AGMMEEOK_02210","NCGNDCAM_02577","HIGJFANA_00057","HJDKNFBC_02280"
"hypB","","Hydrogenase maturation factor HypB",664,664,1,1,2649,NA,NA,"",545,872,871,"IGCOBCDP_01677","DDPCJJMO_01452","CJLNNBOF_03129","FAFOMODO_00167","NJJEKEOD_00166","IHODFCAL_02173","GBEJOMHJ_00503","NBDELGFA_00910","LMPALAJC_00504","JDBOJBPE_01427","NOHICHGJ_00102","AGMMEEOK_02206","NCGNDCAM_02581","HIGJFANA_00053","HJDKNFBC_02276"
"yqaA","","Inner membrane protein YqaA",664,664,1,1,2616,NA,NA,"",281,425,424,"IGCOBCDP_01714","DDPCJJMO_01489","CJLNNBOF_03092","FAFOMODO_00130","NJJEKEOD_00129","IHODFCAL_02210","GBEJOMHJ_04120","NBDELGFA_00873","LMPALAJC_00541","JDBOJBPE_01390","NOHICHGJ_00065","AGMMEEOK_02169","NCGNDCAM_02618","HIGJFANA_00018","HJDKNFBC_02239"
"tctD","","Transcriptional regulatory protein tctD",664,664,1,1,2577,NA,NA,"",332,674,673,"IGCOBCDP_01751","DDPCJJMO_01526","CJLNNBOF_03055","FAFOMODO_00093","NJJEKEOD_00092","IHODFCAL_02247","GBEJOMHJ_04083","NBDELGFA_00835","LMPALAJC_00578","JDBOJBPE_01353","NOHICHGJ_00028","AGMMEEOK_02132","NCGNDCAM_02655","HIGJFANA_03573","HJDKNFBC_02202"
"yhaJ_2","","HTH-type transcriptional regulator YhaJ",664,664,1,1,5916,NA,NA,"",626,914,913,"IGCOBCDP_03690","DDPCJJMO_03679","CJLNNBOF_03390","FAFOMODO_03499","NJJEKEOD_03622","IHODFCAL_03311","GBEJOMHJ_02728","NBDELGFA_03455","LMPALAJC_03612","JDBOJBPE_03668","NOHICHGJ_04422","AGMMEEOK_02477","NCGNDCAM_02878","HIGJFANA_03489","HJDKNFBC_03621"
"wzzB","","Chain length determinant protein",664,664,1,1,5926,NA,NA,"",743,983,982,"IGCOBCDP_03680","DDPCJJMO_03689","CJLNNBOF_03380","FAFOMODO_03509","NJJEKEOD_03612","IHODFCAL_03321","GBEJOMHJ_02718","NBDELGFA_03465","LMPALAJC_03602","JDBOJBPE_03658","NOHICHGJ_04412","AGMMEEOK_02467","NCGNDCAM_02868","HIGJFANA_03499","HJDKNFBC_03611"
"group_1037","","hypothetical protein",664,664,1,1,5953,NA,NA,"",1004,1403,1402,"IGCOBCDP_02317","DDPCJJMO_03710","CJLNNBOF_03359","FAFOMODO_03530","NJJEKEOD_03591","IHODFCAL_03342","GBEJOMHJ_02696","NBDELGFA_03486","LMPALAJC_03581","JDBOJBPE_03637","NOHICHGJ_03312","AGMMEEOK_02446","NCGNDCAM_02847","HIGJFANA_01031","HJDKNFBC_03590"
"gtfA","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit",664,664,1,1,5954,NA,NA,"",281,1220,1218,"IGCOBCDP_02318","DDPCJJMO_03711","CJLNNBOF_03358","FAFOMODO_03531","NJJEKEOD_03590","IHODFCAL_03343","GBEJOMHJ_02695","NBDELGFA_03487","LMPALAJC_03580","JDBOJBPE_03636","NOHICHGJ_03313","AGMMEEOK_02445","NCGNDCAM_02846","HIGJFANA_01030","HJDKNFBC_03589"
"manC1","","Mannose-1-phosphate guanylyltransferase 1",664,664,1,1,5960,NA,NA,"",1073,1436,1433,"IGCOBCDP_02323","DDPCJJMO_03716","CJLNNBOF_03353","FAFOMODO_03536","NJJEKEOD_03585","IHODFCAL_03348","GBEJOMHJ_02690","NBDELGFA_03492","LMPALAJC_03575","JDBOJBPE_03631","NOHICHGJ_03318","AGMMEEOK_02440","NCGNDCAM_02841","HIGJFANA_01025","HJDKNFBC_03584"
"mdtB","","Multidrug resistance protein MdtB",664,664,1,1,6116,NA,NA,"",494,3122,3116,"IGCOBCDP_02348","DDPCJJMO_03741","CJLNNBOF_03328","FAFOMODO_03561","NJJEKEOD_03560","IHODFCAL_03373","GBEJOMHJ_02665","NBDELGFA_03517","LMPALAJC_03885","JDBOJBPE_03606","NOHICHGJ_03343","AGMMEEOK_02415","NCGNDCAM_02816","HIGJFANA_01000","HJDKNFBC_03559"
"dld","","Quinone-dependent D-lactate dehydrogenase",664,664,1,1,6073,NA,NA,"",1310,1730,1728,"IGCOBCDP_02388","DDPCJJMO_03781","CJLNNBOF_03288","FAFOMODO_03601","NJJEKEOD_03520","IHODFCAL_03413","GBEJOMHJ_02625","NBDELGFA_03556","LMPALAJC_03925","JDBOJBPE_03566","NOHICHGJ_03383","AGMMEEOK_02375","NCGNDCAM_02776","HIGJFANA_00960","HJDKNFBC_03519"
"bcr","","Bicyclomycin resistance protein",664,664,1,1,6014,NA,NA,"",884,1190,1187,"IGCOBCDP_02442","DDPCJJMO_03835","CJLNNBOF_03233","FAFOMODO_03655","NJJEKEOD_03465","IHODFCAL_03467","GBEJOMHJ_02570","NBDELGFA_03610","LMPALAJC_03979","JDBOJBPE_03511","NOHICHGJ_04438","AGMMEEOK_02320","NCGNDCAM_02721","HIGJFANA_00905","HJDKNFBC_03464"
"dsbA_1","","hypothetical protein",664,664,1,1,3812,NA,NA,"",572,665,652,"IGCOBCDP_02764","DDPCJJMO_01893","CJLNNBOF_00653","FAFOMODO_01322","NJJEKEOD_01321","IHODFCAL_03512","GBEJOMHJ_01368","NBDELGFA_01688","LMPALAJC_00946","JDBOJBPE_02205","NOHICHGJ_01702","AGMMEEOK_02779","NCGNDCAM_01398","HIGJFANA_01818","HJDKNFBC_00764"
"group_1104","","hypothetical protein",664,664,1,1,3273,NA,NA,"",935,1127,1093,"IGCOBCDP_02842","DDPCJJMO_01971","CJLNNBOF_00575","FAFOMODO_01244","NJJEKEOD_01243","IHODFCAL_03590","GBEJOMHJ_03763","NBDELGFA_01768","LMPALAJC_01024","JDBOJBPE_02283","NOHICHGJ_01780","AGMMEEOK_02858","NCGNDCAM_01320","HIGJFANA_03229","HJDKNFBC_00842"
