"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR10771554","SRR13422657","SRR6685099","SRR10018785","SRR5966302","SRR17276289","SRR6908301","SRR13734520","SRR17240418","SRR7414574","SRR17541375","SRR8889049","SRR18271431","SRR7882224","SRR6457608"
"fhlA","","Formate hydrogenlyase transcriptional activator",664,664,1,1,2654,NA,NA,"",1163,2078,2076,"LIIPPADC_00038","OIMGAJGJ_01832","OAICMFBH_00170","AJBJNLNM_00170","KHKGKMMB_01450","CEOPIGHA_01246","IJBOMBEI_00170","HFNCDGNJ_01449","KMCBKOAC_00499","BBKNNGBL_02422","AFJFNKEL_00128","IHJMGDCB_00583","AKJPNDNI_01248","CNDMLJJE_00313","HJMAJOGO_00170"
"hypB","","Hydrogenase maturation factor HypB",664,664,1,1,2649,NA,NA,"",545,872,871,"LIIPPADC_00034","OIMGAJGJ_01836","OAICMFBH_00166","AJBJNLNM_00166","KHKGKMMB_01454","CEOPIGHA_01250","IJBOMBEI_00166","HFNCDGNJ_01453","KMCBKOAC_00503","BBKNNGBL_02426","AFJFNKEL_00124","IHJMGDCB_00579","AKJPNDNI_01252","CNDMLJJE_00317","HJMAJOGO_00166"
"yqaA","","Inner membrane protein YqaA",664,664,1,1,2616,NA,NA,"",281,425,424,"LIIPPADC_04349","OIMGAJGJ_01873","OAICMFBH_00129","AJBJNLNM_00129","KHKGKMMB_01491","CEOPIGHA_01287","IJBOMBEI_00129","HFNCDGNJ_01490","KMCBKOAC_00540","BBKNNGBL_01117","AFJFNKEL_00088","IHJMGDCB_00544","AKJPNDNI_01289","CNDMLJJE_00353","HJMAJOGO_00129"
"tctD","","Transcriptional regulatory protein tctD",664,664,1,1,2577,NA,NA,"",332,674,673,"LIIPPADC_04312","OIMGAJGJ_01910","OAICMFBH_00092","AJBJNLNM_00092","KHKGKMMB_01528","CEOPIGHA_01324","IJBOMBEI_00092","HFNCDGNJ_01527","KMCBKOAC_00577","BBKNNGBL_01154","AFJFNKEL_00051","IHJMGDCB_00507","AKJPNDNI_01326","CNDMLJJE_00390","HJMAJOGO_00092"
"yhaJ_2","","HTH-type transcriptional regulator YhaJ",664,664,1,1,5916,NA,NA,"",626,914,913,"LIIPPADC_03361","OIMGAJGJ_02545","OAICMFBH_03422","AJBJNLNM_03289","KHKGKMMB_03213","CEOPIGHA_03620","IJBOMBEI_03451","HFNCDGNJ_03207","KMCBKOAC_03240","BBKNNGBL_04122","AFJFNKEL_03408","IHJMGDCB_03663","AKJPNDNI_03291","CNDMLJJE_03478","HJMAJOGO_02658"
"wzzB","","Chain length determinant protein",664,664,1,1,5926,NA,NA,"",743,983,982,"LIIPPADC_03371","OIMGAJGJ_02535","OAICMFBH_03432","AJBJNLNM_03279","KHKGKMMB_03223","CEOPIGHA_03610","IJBOMBEI_03461","HFNCDGNJ_03217","KMCBKOAC_03230","BBKNNGBL_04112","AFJFNKEL_03418","IHJMGDCB_03673","AKJPNDNI_03281","CNDMLJJE_03488","HJMAJOGO_02648"
"group_1037","","hypothetical protein",664,664,1,1,5953,NA,NA,"",1004,1403,1402,"LIIPPADC_03392","OIMGAJGJ_02514","OAICMFBH_03453","AJBJNLNM_03258","KHKGKMMB_03244","CEOPIGHA_03589","IJBOMBEI_03482","HFNCDGNJ_03238","KMCBKOAC_03209","BBKNNGBL_03152","AFJFNKEL_03439","IHJMGDCB_02350","AKJPNDNI_03260","CNDMLJJE_03320","HJMAJOGO_02627"
"gtfA","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit",664,664,1,1,5954,NA,NA,"",281,1220,1218,"LIIPPADC_03393","OIMGAJGJ_02513","OAICMFBH_03454","AJBJNLNM_03257","KHKGKMMB_03245","CEOPIGHA_03588","IJBOMBEI_03483","HFNCDGNJ_03239","KMCBKOAC_03208","BBKNNGBL_03153","AFJFNKEL_03440","IHJMGDCB_02351","AKJPNDNI_03259","CNDMLJJE_03319","HJMAJOGO_02626"
"manC1","","Mannose-1-phosphate guanylyltransferase 1",664,664,1,1,5960,NA,NA,"",1073,1436,1433,"LIIPPADC_03398","OIMGAJGJ_02508","OAICMFBH_03459","AJBJNLNM_03252","KHKGKMMB_03250","CEOPIGHA_03583","IJBOMBEI_03488","HFNCDGNJ_03244","KMCBKOAC_03203","BBKNNGBL_03158","AFJFNKEL_03445","IHJMGDCB_02356","AKJPNDNI_03254","CNDMLJJE_03314","HJMAJOGO_02621"
"mdtB","","Multidrug resistance protein MdtB",664,664,1,1,6116,NA,NA,"",494,3122,3116,"LIIPPADC_03423","OIMGAJGJ_02483","OAICMFBH_03484","AJBJNLNM_03227","KHKGKMMB_03275","CEOPIGHA_03558","IJBOMBEI_03513","HFNCDGNJ_03269","KMCBKOAC_03178","BBKNNGBL_03861","AFJFNKEL_03470","IHJMGDCB_02381","AKJPNDNI_03229","CNDMLJJE_03289","HJMAJOGO_02596"
