"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR10246259","SRR12486597","SRR6933169","SRR8136585","SRR13295282","SRR17313175","SRR9822899","SRR10343304","SRR6818866","SRR21491710","SRR9829555","SRR15692430","SRR21009194","SRR10287065","SRR6291075"
"group_1006","","hypothetical protein",905,905,1,1,2498,NA,NA,"",1823,2168,2165,"LGJOIPFI_02995","GEPBKFHD_04496","JFNEGFDH_03932","OOAAHECJ_04596","NNHOCHGL_04542","MHHMLLCP_03218","NBIDCAIK_03754","PILNMLJL_03110","DAMHLDFM_03466","JGNJGBJE_04532","DJKAMOKE_04411","AKEOCGMD_03042","AFNEMGOJ_03244","CBDKDFBM_03975","LBCGLNIL_03474"
"papC_3","","Outer membrane usher protein PapC",905,905,1,1,997,NA,NA,"",2057,2657,2656,"LGJOIPFI_03701","GEPBKFHD_03954","JFNEGFDH_03157","OOAAHECJ_04071","NNHOCHGL_03858","MHHMLLCP_03295","NBIDCAIK_03645","PILNMLJL_03645","DAMHLDFM_03675","JGNJGBJE_04244","DJKAMOKE_03490","AKEOCGMD_03625","AFNEMGOJ_03865","CBDKDFBM_04280","LBCGLNIL_03845"
"yfcO","","putative protein YfcO",905,905,1,1,992,NA,NA,"",734,842,841,"LGJOIPFI_03706","GEPBKFHD_03949","JFNEGFDH_03162","OOAAHECJ_04066","NNHOCHGL_03863","MHHMLLCP_03300","NBIDCAIK_03640","PILNMLJL_03640","DAMHLDFM_03680","JGNJGBJE_04249","DJKAMOKE_03495","AKEOCGMD_03630","AFNEMGOJ_03870","CBDKDFBM_04285","LBCGLNIL_03850"
"group_1013","","hypothetical protein",905,905,1,1,988,NA,NA,"",362,689,622,"LGJOIPFI_03710","GEPBKFHD_03945","JFNEGFDH_03166","OOAAHECJ_04062","NNHOCHGL_03867","MHHMLLCP_03304","NBIDCAIK_03636","PILNMLJL_03636","DAMHLDFM_03684","JGNJGBJE_04253","DJKAMOKE_03499","AKEOCGMD_03634","AFNEMGOJ_03874","CBDKDFBM_04289","LBCGLNIL_03854"
"abaF","","Fosfomycin resistance protein AbaF",905,905,1,1,979,NA,NA,"",803,1301,804,"LGJOIPFI_03718","GEPBKFHD_03937","JFNEGFDH_03174","OOAAHECJ_04054","NNHOCHGL_03875","MHHMLLCP_03312","NBIDCAIK_03628","PILNMLJL_03628","DAMHLDFM_03692","JGNJGBJE_04261","DJKAMOKE_03507","AKEOCGMD_03642","AFNEMGOJ_03882","CBDKDFBM_04297","LBCGLNIL_03862"
"ldcC","","Constitutive lysine decarboxylase",905,905,1,1,956,NA,NA,"",1370,2141,2139,"LGJOIPFI_03741","GEPBKFHD_03914","JFNEGFDH_03197","OOAAHECJ_04031","NNHOCHGL_03898","MHHMLLCP_03335","NBIDCAIK_03605","PILNMLJL_03605","DAMHLDFM_03715","JGNJGBJE_04284","DJKAMOKE_03530","AKEOCGMD_03665","AFNEMGOJ_03905","CBDKDFBM_04320","LBCGLNIL_03885"
"group_1042","","putative signaling protein",905,905,1,1,1158,NA,NA,"",1100,2099,2097,"LGJOIPFI_04469","GEPBKFHD_04175","JFNEGFDH_04333","OOAAHECJ_04322","NNHOCHGL_04239","MHHMLLCP_03946","NBIDCAIK_04058","PILNMLJL_04528","DAMHLDFM_04024","JGNJGBJE_04354","DJKAMOKE_03935","AKEOCGMD_04120","AFNEMGOJ_04615","CBDKDFBM_04421","LBCGLNIL_04098"
"malG","","Maltose/maltodextrin transport system permease protein MalG",905,905,1,1,913,NA,NA,"",515,890,889,"LGJOIPFI_02522","GEPBKFHD_03871","JFNEGFDH_04158","OOAAHECJ_03988","NNHOCHGL_03773","MHHMLLCP_03882","NBIDCAIK_03675","PILNMLJL_00695","DAMHLDFM_04162","JGNJGBJE_01840","DJKAMOKE_03346","AKEOCGMD_03830","AFNEMGOJ_01321","CBDKDFBM_04252","LBCGLNIL_04219"
"lamB","","Maltoporin",905,905,1,1,4755,NA,NA,"",644,1358,1347,"LGJOIPFI_02526","GEPBKFHD_03875","JFNEGFDH_04154","OOAAHECJ_03992","NNHOCHGL_03777","MHHMLLCP_03886","NBIDCAIK_03671","PILNMLJL_00699","DAMHLDFM_04166","JGNJGBJE_01844","DJKAMOKE_03342","AKEOCGMD_03834","AFNEMGOJ_01325","CBDKDFBM_04248","LBCGLNIL_04215"
"chuR_2","","Anaerobic sulfatase-maturating enzyme",905,905,1,1,5840,NA,NA,"",965,1190,1189,"LGJOIPFI_03970","GEPBKFHD_04405","JFNEGFDH_01151","OOAAHECJ_03327","NNHOCHGL_02666","MHHMLLCP_04093","NBIDCAIK_04271","PILNMLJL_01094","DAMHLDFM_04326","JGNJGBJE_02800","DJKAMOKE_04163","AKEOCGMD_04286","AFNEMGOJ_01720","CBDKDFBM_03042","LBCGLNIL_02788"
"yjgN_1","","Inner membrane protein YjgN",905,905,1,1,4988,NA,NA,"",752,848,847,"LGJOIPFI_02745","GEPBKFHD_01324","JFNEGFDH_01328","OOAAHECJ_02878","NNHOCHGL_04481","MHHMLLCP_04401","NBIDCAIK_02306","PILNMLJL_00918","DAMHLDFM_04314","JGNJGBJE_02064","DJKAMOKE_04189","AKEOCGMD_04394","AFNEMGOJ_01544","CBDKDFBM_02829","LBCGLNIL_00799"
"group_1092","","hypothetical protein",905,905,1,1,2437,NA,NA,"",698,974,973,"LGJOIPFI_03047","GEPBKFHD_04361","JFNEGFDH_04510","OOAAHECJ_04407","NNHOCHGL_04355","MHHMLLCP_04189","NBIDCAIK_04337","PILNMLJL_03059","DAMHLDFM_04404","JGNJGBJE_04436","DJKAMOKE_04257","AKEOCGMD_04418","AFNEMGOJ_03193","CBDKDFBM_04627","LBCGLNIL_04329"
"aceB","","Malate synthase A",905,905,1,1,889,NA,NA,"",1298,1601,1598,"LGJOIPFI_02498","GEPBKFHD_03847","JFNEGFDH_04182","OOAAHECJ_03964","NNHOCHGL_03749","MHHMLLCP_04270","NBIDCAIK_03699","PILNMLJL_00671","DAMHLDFM_04441","JGNJGBJE_01816","DJKAMOKE_03370","AKEOCGMD_03806","AFNEMGOJ_01297","CBDKDFBM_04276","LBCGLNIL_04297"
"prr","","Gamma-aminobutyraldehyde dehydrogenase",905,905,1,1,3242,NA,NA,"",1397,1445,1424,"LGJOIPFI_03445","GEPBKFHD_00489","JFNEGFDH_00130","OOAAHECJ_00666","NNHOCHGL_00938","MHHMLLCP_01243","NBIDCAIK_00555","PILNMLJL_02218","DAMHLDFM_00130","JGNJGBJE_02364","DJKAMOKE_03456","AKEOCGMD_01279","AFNEMGOJ_00821","CBDKDFBM_01212","LBCGLNIL_03811"
"group_1135","","hypothetical protein",905,905,1,1,1575,NA,NA,"",953,3956,3869,"LGJOIPFI_04404","GEPBKFHD_04423","JFNEGFDH_04399","OOAAHECJ_01435","NNHOCHGL_04191","MHHMLLCP_00350","NBIDCAIK_04154","PILNMLJL_03561","DAMHLDFM_04004","JGNJGBJE_02113","DJKAMOKE_01907","AKEOCGMD_00713","AFNEMGOJ_03508","CBDKDFBM_01876","LBCGLNIL_00433"
"ybiT","","putative ABC transporter ATP-binding protein YbiT",905,905,1,1,4411,NA,NA,"",977,1595,1590,"LGJOIPFI_00071","GEPBKFHD_00953","JFNEGFDH_02244","OOAAHECJ_03872","NNHOCHGL_03585","MHHMLLCP_02731","NBIDCAIK_03472","PILNMLJL_04439","DAMHLDFM_03608","JGNJGBJE_04086","DJKAMOKE_03044","AKEOCGMD_03187","AFNEMGOJ_00071","CBDKDFBM_04224","LBCGLNIL_03785"
"ttdA_1","","L(+)-tartrate dehydratase subunit alpha",905,905,1,1,1199,NA,NA,"",617,854,843,"LGJOIPFI_03760","GEPBKFHD_01998","JFNEGFDH_03705","OOAAHECJ_04137","NNHOCHGL_04505","MHHMLLCP_04351","NBIDCAIK_04509","PILNMLJL_03790","DAMHLDFM_04512","JGNJGBJE_04495","DJKAMOKE_04304","AKEOCGMD_03619","AFNEMGOJ_04105","CBDKDFBM_04339","LBCGLNIL_04505"
"dtpA","","Dipeptide and tripeptide permease A",905,905,1,1,3083,NA,NA,"",938,1511,1504,"LGJOIPFI_02177","GEPBKFHD_04077","JFNEGFDH_01844","OOAAHECJ_00805","NNHOCHGL_00330","MHHMLLCP_03467","NBIDCAIK_01396","PILNMLJL_03036","DAMHLDFM_01326","JGNJGBJE_02772","DJKAMOKE_03662","AKEOCGMD_00971","AFNEMGOJ_00960","CBDKDFBM_02184","LBCGLNIL_01682"
"cfxP","","Phosphoribulokinase, plasmid",905,905,1,1,126,NA,NA,"",749,869,868,"LGJOIPFI_01449","GEPBKFHD_00065","JFNEGFDH_00423","OOAAHECJ_01464","NNHOCHGL_00303","MHHMLLCP_02399","NBIDCAIK_00301","PILNMLJL_01177","DAMHLDFM_00337","JGNJGBJE_01749","DJKAMOKE_00065","AKEOCGMD_00065","AFNEMGOJ_02087","CBDKDFBM_01018","LBCGLNIL_01655"
"nudE","","ADP compounds hydrolase NudE",905,905,1,1,161,NA,NA,"",563,596,563,"LGJOIPFI_01479","GEPBKFHD_00095","JFNEGFDH_00453","OOAAHECJ_01494","NNHOCHGL_00273","MHHMLLCP_02429","NBIDCAIK_00271","PILNMLJL_01207","DAMHLDFM_00367","JGNJGBJE_01719","DJKAMOKE_00095","AKEOCGMD_00095","AFNEMGOJ_02057","CBDKDFBM_00988","LBCGLNIL_01625"
"igaA","","Intracellular growth attenuator protein igaA",905,905,1,1,162,NA,NA,"",1997,2132,2131,"LGJOIPFI_01480","GEPBKFHD_00096","JFNEGFDH_00454","OOAAHECJ_01495","NNHOCHGL_00272","MHHMLLCP_02430","NBIDCAIK_00270","PILNMLJL_01208","DAMHLDFM_00368","JGNJGBJE_01718","DJKAMOKE_00096","AKEOCGMD_00096","AFNEMGOJ_02056","CBDKDFBM_00987","LBCGLNIL_01624"
"hslR","","Heat shock protein 15",905,905,1,1,164,NA,NA,"",326,401,400,"LGJOIPFI_01482","GEPBKFHD_00098","JFNEGFDH_00456","OOAAHECJ_01497","NNHOCHGL_00270","MHHMLLCP_02432","NBIDCAIK_00268","PILNMLJL_01210","DAMHLDFM_00370","JGNJGBJE_01716","DJKAMOKE_00098","AKEOCGMD_00098","AFNEMGOJ_02054","CBDKDFBM_00985","LBCGLNIL_01622"
"rhmR_1","","putative HTH-type transcriptional regulator RhmR",905,905,1,1,204,NA,NA,"",608,755,754,"LGJOIPFI_01518","GEPBKFHD_00134","JFNEGFDH_00492","OOAAHECJ_01533","NNHOCHGL_00233","MHHMLLCP_00726","NBIDCAIK_00232","PILNMLJL_01246","DAMHLDFM_00406","JGNJGBJE_01680","DJKAMOKE_00134","AKEOCGMD_00134","AFNEMGOJ_02018","CBDKDFBM_00949","LBCGLNIL_01586"
"malP_1","","Maltodextrin phosphorylase",905,905,1,1,205,NA,NA,"",2372,2447,2446,"LGJOIPFI_01519","GEPBKFHD_00135","JFNEGFDH_00493","OOAAHECJ_01534","NNHOCHGL_00232","MHHMLLCP_00725","NBIDCAIK_00231","PILNMLJL_01247","DAMHLDFM_00407","JGNJGBJE_01679","DJKAMOKE_00135","AKEOCGMD_00135","AFNEMGOJ_02017","CBDKDFBM_00948","LBCGLNIL_01585"
"yhhX","","putative oxidoreductase YhhX",905,905,1,1,216,NA,NA,"",500,1037,1036,"LGJOIPFI_01529","GEPBKFHD_00145","JFNEGFDH_00503","OOAAHECJ_01544","NNHOCHGL_00222","MHHMLLCP_00715","NBIDCAIK_00221","PILNMLJL_01257","DAMHLDFM_00417","JGNJGBJE_01669","DJKAMOKE_00145","AKEOCGMD_00145","AFNEMGOJ_02007","CBDKDFBM_00938","LBCGLNIL_01575"
"lacG","","Lactose transport system permease protein LacG",905,905,1,1,229,NA,NA,"",500,845,844,"LGJOIPFI_01540","GEPBKFHD_00156","JFNEGFDH_00514","OOAAHECJ_01555","NNHOCHGL_00211","MHHMLLCP_00704","NBIDCAIK_00211","PILNMLJL_01268","DAMHLDFM_00428","JGNJGBJE_01659","DJKAMOKE_00156","AKEOCGMD_00156","AFNEMGOJ_01996","CBDKDFBM_00927","LBCGLNIL_01564"
"pitA","","Low-affinity inorganic phosphate transporter 1",905,905,1,1,267,NA,NA,"",716,1496,1495,"LGJOIPFI_01574","GEPBKFHD_00190","JFNEGFDH_00548","OOAAHECJ_01589","NNHOCHGL_00177","MHHMLLCP_00670","NBIDCAIK_00177","PILNMLJL_01302","DAMHLDFM_00462","JGNJGBJE_01625","DJKAMOKE_00190","AKEOCGMD_00190","AFNEMGOJ_01962","CBDKDFBM_00893","LBCGLNIL_01530"
"uspB","","Universal stress protein B",905,905,1,1,268,NA,NA,"",242,335,334,"LGJOIPFI_01575","GEPBKFHD_00191","JFNEGFDH_00549","OOAAHECJ_01590","NNHOCHGL_00176","MHHMLLCP_00669","NBIDCAIK_00176","PILNMLJL_01303","DAMHLDFM_00463","JGNJGBJE_01624","DJKAMOKE_00191","AKEOCGMD_00191","AFNEMGOJ_01961","CBDKDFBM_00892","LBCGLNIL_01529"
"yhjE","","Inner membrane metabolite transport protein YhjE",905,905,1,1,288,NA,NA,"",1100,1322,1321,"LGJOIPFI_01594","GEPBKFHD_00210","JFNEGFDH_00568","OOAAHECJ_01609","NNHOCHGL_00157","MHHMLLCP_00650","NBIDCAIK_00157","PILNMLJL_01322","DAMHLDFM_00482","JGNJGBJE_01605","DJKAMOKE_00210","AKEOCGMD_00210","AFNEMGOJ_01942","CBDKDFBM_00873","LBCGLNIL_01510"
"group_1190","","hypothetical protein",905,905,1,1,289,NA,NA,"",1895,2060,2059,"LGJOIPFI_01595","GEPBKFHD_00211","JFNEGFDH_00569","OOAAHECJ_01610","NNHOCHGL_00156","MHHMLLCP_00649","NBIDCAIK_00156","PILNMLJL_01323","DAMHLDFM_00483","JGNJGBJE_01604","DJKAMOKE_00211","AKEOCGMD_00211","AFNEMGOJ_01941","CBDKDFBM_00872","LBCGLNIL_01509"
