"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR5966302","SRR10830163","SRR17553086","SRR17837076","SRR13284906","SRR20711486","SRR17017804","SRR10442241","SRR15201973","SRR15093396","SRR13729863","SRR16956555","SRR18302086","SRR20289200","SRR18271431"
"fhlA","","Formate hydrogenlyase transcriptional activator",664,664,1,1,2654,NA,NA,"",1163,2078,2076,"KHKGKMMB_01450","IMKMJIJD_01239","JCMDIBOB_00497","LKJDNFPP_00170","KFFICDKC_01265","HIPLHAHM_00500","KBGPKBHO_01251","KIBLFBLO_01243","JKOKEDCG_03575","GBLCDGCH_00927","LELNJHEK_00059","EALMCAPJ_00170","CJIDFALM_02739","MJBNJMMC_02965","AKJPNDNI_01248"
"hypB","","Hydrogenase maturation factor HypB",664,664,1,1,2649,NA,NA,"",545,872,871,"KHKGKMMB_01454","IMKMJIJD_01243","JCMDIBOB_00501","LKJDNFPP_00166","KFFICDKC_01269","HIPLHAHM_00504","KBGPKBHO_01255","KIBLFBLO_01247","JKOKEDCG_03571","GBLCDGCH_00923","LELNJHEK_00055","EALMCAPJ_00166","CJIDFALM_02735","MJBNJMMC_02969","AKJPNDNI_01252"
"yqaA","","Inner membrane protein YqaA",664,664,1,1,2616,NA,NA,"",281,425,424,"KHKGKMMB_01491","IMKMJIJD_01280","JCMDIBOB_00537","LKJDNFPP_00129","KFFICDKC_01306","HIPLHAHM_00541","KBGPKBHO_01292","KIBLFBLO_01284","JKOKEDCG_03534","GBLCDGCH_00886","LELNJHEK_00018","EALMCAPJ_00129","CJIDFALM_02698","MJBNJMMC_03006","AKJPNDNI_01289"
"tctD","","Transcriptional regulatory protein tctD",664,664,1,1,2577,NA,NA,"",332,674,673,"KHKGKMMB_01528","IMKMJIJD_01317","JCMDIBOB_00574","LKJDNFPP_00092","KFFICDKC_01343","HIPLHAHM_00578","KBGPKBHO_01329","KIBLFBLO_01321","JKOKEDCG_03497","GBLCDGCH_00849","LELNJHEK_04066","EALMCAPJ_00092","CJIDFALM_01923","MJBNJMMC_03043","AKJPNDNI_01326"
"yhaJ_2","","HTH-type transcriptional regulator YhaJ",664,664,1,1,5916,NA,NA,"",626,914,913,"KHKGKMMB_03213","IMKMJIJD_03015","JCMDIBOB_02924","LKJDNFPP_03245","KFFICDKC_03661","HIPLHAHM_03479","KBGPKBHO_03230","KIBLFBLO_02715","JKOKEDCG_03233","GBLCDGCH_03715","LELNJHEK_03340","EALMCAPJ_02372","CJIDFALM_01360","MJBNJMMC_03190","AKJPNDNI_03291"
"wzzB","","Chain length determinant protein",664,664,1,1,5926,NA,NA,"",743,983,982,"KHKGKMMB_03223","IMKMJIJD_03005","JCMDIBOB_02914","LKJDNFPP_03255","KFFICDKC_03651","HIPLHAHM_03469","KBGPKBHO_03220","KIBLFBLO_02705","JKOKEDCG_03243","GBLCDGCH_03705","LELNJHEK_03330","EALMCAPJ_02382","CJIDFALM_01370","MJBNJMMC_03180","AKJPNDNI_03281"
"group_1037","","hypothetical protein",664,664,1,1,5953,NA,NA,"",1004,1403,1402,"KHKGKMMB_03244","IMKMJIJD_02984","JCMDIBOB_02893","LKJDNFPP_03276","KFFICDKC_03630","HIPLHAHM_03448","KBGPKBHO_03199","KIBLFBLO_02684","JKOKEDCG_03264","GBLCDGCH_03684","LELNJHEK_03309","EALMCAPJ_02403","CJIDFALM_02363","MJBNJMMC_03159","AKJPNDNI_03260"
"gtfA","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit",664,664,1,1,5954,NA,NA,"",281,1220,1218,"KHKGKMMB_03245","IMKMJIJD_02983","JCMDIBOB_02892","LKJDNFPP_03277","KFFICDKC_03629","HIPLHAHM_03447","KBGPKBHO_03198","KIBLFBLO_02683","JKOKEDCG_03265","GBLCDGCH_03683","LELNJHEK_03308","EALMCAPJ_02404","CJIDFALM_02364","MJBNJMMC_03158","AKJPNDNI_03259"
"manC1","","Mannose-1-phosphate guanylyltransferase 1",664,664,1,1,5960,NA,NA,"",1073,1436,1433,"KHKGKMMB_03250","IMKMJIJD_02978","JCMDIBOB_02887","LKJDNFPP_03282","KFFICDKC_03624","HIPLHAHM_03442","KBGPKBHO_03193","KIBLFBLO_02678","JKOKEDCG_03270","GBLCDGCH_03678","LELNJHEK_03303","EALMCAPJ_02409","CJIDFALM_02369","MJBNJMMC_03153","AKJPNDNI_03254"
"mdtB","","Multidrug resistance protein MdtB",664,664,1,1,6116,NA,NA,"",494,3122,3116,"KHKGKMMB_03275","IMKMJIJD_02953","JCMDIBOB_02862","LKJDNFPP_03307","KFFICDKC_03599","HIPLHAHM_03417","KBGPKBHO_03168","KIBLFBLO_02653","JKOKEDCG_03295","GBLCDGCH_04092","LELNJHEK_03278","EALMCAPJ_02434","CJIDFALM_02394","MJBNJMMC_03796","AKJPNDNI_03229"
"dld","","Quinone-dependent D-lactate dehydrogenase",664,664,1,1,6073,NA,NA,"",1310,1730,1728,"KHKGKMMB_03315","IMKMJIJD_02913","JCMDIBOB_02822","LKJDNFPP_03347","KFFICDKC_03559","HIPLHAHM_03377","KBGPKBHO_03128","KIBLFBLO_02613","JKOKEDCG_03335","GBLCDGCH_04052","LELNJHEK_03238","EALMCAPJ_02474","CJIDFALM_00619","MJBNJMMC_03836","AKJPNDNI_03189"
"bcr","","Bicyclomycin resistance protein",664,664,1,1,6014,NA,NA,"",884,1190,1187,"KHKGKMMB_03369","IMKMJIJD_02858","JCMDIBOB_02767","LKJDNFPP_03401","KFFICDKC_03504","HIPLHAHM_03322","KBGPKBHO_03073","KIBLFBLO_02558","JKOKEDCG_03389","GBLCDGCH_03997","LELNJHEK_03183","EALMCAPJ_02528","CJIDFALM_00564","MJBNJMMC_03890","AKJPNDNI_03133"
"dsbA_1","","hypothetical protein",664,664,1,1,3812,NA,NA,"",572,665,652,"KHKGKMMB_03661","IMKMJIJD_01620","JCMDIBOB_01920","LKJDNFPP_01321","KFFICDKC_02197","HIPLHAHM_03948","KBGPKBHO_02118","KIBLFBLO_01539","JKOKEDCG_01406","GBLCDGCH_02080","LELNJHEK_01319","EALMCAPJ_03772","CJIDFALM_03344","MJBNJMMC_01702","AKJPNDNI_02180"
