"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14766433","SRR3037491","SRR8280066","SRR14766463","SRR11101205","SRR8280071","SRR14766430","SRR14766401","SRR14766385","SRR5350414","SRR2911779","SRR1514770","NDSU10","SRR11068404","SRR19317097"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"JOCLDNKJ_03805","GJABAPEG_02997","FLNDLMAF_01983","GIMAHOAG_02231","GGECDONP_00657","KGBCLIJM_04213","GHDKDIHM_00191","PDDJGGLI_03519","HLFBFLHK_03950","ILNMAOIA_00531","OJHJBKHD_03894","PNDPEECJ_02166","PGKCJFEA_01752","NHHFDHOA_01027","OKIGJMAO_03048"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"JOCLDNKJ_02883","GJABAPEG_03097","FLNDLMAF_04107","GIMAHOAG_03756","GGECDONP_02758","KGBCLIJM_02407","GHDKDIHM_00291","PDDJGGLI_03619","HLFBFLHK_01462","ILNMAOIA_00631","OJHJBKHD_03433","PNDPEECJ_04024","PGKCJFEA_01630","NHHFDHOA_00927","OKIGJMAO_02762"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"JOCLDNKJ_03977","GJABAPEG_03559","FLNDLMAF_03254","GIMAHOAG_02560","GGECDONP_04092","KGBCLIJM_03922","GHDKDIHM_04102","PDDJGGLI_03835","HLFBFLHK_02369","ILNMAOIA_04307","OJHJBKHD_04255","PNDPEECJ_02824","PGKCJFEA_02611","NHHFDHOA_04316","OKIGJMAO_03614"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"JOCLDNKJ_02139","GJABAPEG_03839","FLNDLMAF_03940","GIMAHOAG_03091","GGECDONP_02576","KGBCLIJM_03928","GHDKDIHM_03441","PDDJGGLI_04117","HLFBFLHK_03292","ILNMAOIA_03523","OJHJBKHD_03248","PNDPEECJ_02697","PGKCJFEA_01955","NHHFDHOA_03133","OKIGJMAO_04103"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"JOCLDNKJ_02144","GJABAPEG_03844","FLNDLMAF_03945","GIMAHOAG_03096","GGECDONP_02581","KGBCLIJM_02484","GHDKDIHM_03446","PDDJGGLI_04122","HLFBFLHK_03241","ILNMAOIA_03518","OJHJBKHD_03253","PNDPEECJ_02692","PGKCJFEA_01960","NHHFDHOA_03138","OKIGJMAO_04071"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"JOCLDNKJ_02202","GJABAPEG_03902","FLNDLMAF_04003","GIMAHOAG_03154","GGECDONP_02639","KGBCLIJM_02542","GHDKDIHM_03504","PDDJGGLI_04180","HLFBFLHK_02503","ILNMAOIA_03460","OJHJBKHD_03311","PNDPEECJ_03601","PGKCJFEA_02018","NHHFDHOA_03196","OKIGJMAO_03734"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"JOCLDNKJ_02238","GJABAPEG_03938","FLNDLMAF_04039","GIMAHOAG_03190","GGECDONP_04489","KGBCLIJM_02578","GHDKDIHM_04190","PDDJGGLI_04216","HLFBFLHK_02539","ILNMAOIA_03424","OJHJBKHD_03347","PNDPEECJ_03565","PGKCJFEA_03828","NHHFDHOA_03232","OKIGJMAO_03770"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"JOCLDNKJ_03596","GJABAPEG_04185","FLNDLMAF_04271","GIMAHOAG_04164","GGECDONP_03604","KGBCLIJM_03481","GHDKDIHM_03920","PDDJGGLI_04380","HLFBFLHK_01814","ILNMAOIA_04026","OJHJBKHD_04100","PNDPEECJ_03039","PGKCJFEA_02695","NHHFDHOA_04032","OKIGJMAO_04584"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"JOCLDNKJ_03652","GJABAPEG_04241","FLNDLMAF_04327","GIMAHOAG_04220","GGECDONP_03660","KGBCLIJM_03425","GHDKDIHM_03864","PDDJGGLI_04324","HLFBFLHK_01758","ILNMAOIA_04082","OJHJBKHD_04156","PNDPEECJ_03095","PGKCJFEA_02639","NHHFDHOA_03976","OKIGJMAO_03791"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"JOCLDNKJ_01853","GJABAPEG_03459","FLNDLMAF_03354","GIMAHOAG_02660","GGECDONP_02347","KGBCLIJM_03772","GHDKDIHM_02871","PDDJGGLI_03735","HLFBFLHK_02657","ILNMAOIA_03074","OJHJBKHD_03696","PNDPEECJ_01816","PGKCJFEA_04020","NHHFDHOA_02904","OKIGJMAO_02059"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"JOCLDNKJ_04174","GJABAPEG_04441","FLNDLMAF_04397","GIMAHOAG_04406","GGECDONP_04269","KGBCLIJM_03999","GHDKDIHM_04659","PDDJGGLI_04533","HLFBFLHK_03409","ILNMAOIA_04365","OJHJBKHD_04492","PNDPEECJ_03896","PGKCJFEA_03700","NHHFDHOA_04642","OKIGJMAO_04200"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"JOCLDNKJ_04171","GJABAPEG_04444","FLNDLMAF_04400","GIMAHOAG_04403","GGECDONP_04272","KGBCLIJM_03996","GHDKDIHM_04451","PDDJGGLI_04530","HLFBFLHK_03406","ILNMAOIA_04368","OJHJBKHD_04489","PNDPEECJ_03893","PGKCJFEA_03697","NHHFDHOA_04318","OKIGJMAO_04197"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"JOCLDNKJ_04150","GJABAPEG_04465","FLNDLMAF_04421","GIMAHOAG_04382","GGECDONP_04293","KGBCLIJM_03975","GHDKDIHM_04430","PDDJGGLI_04509","HLFBFLHK_03385","ILNMAOIA_04389","OJHJBKHD_04468","PNDPEECJ_03872","PGKCJFEA_03676","NHHFDHOA_04339","OKIGJMAO_04176"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"JOCLDNKJ_04207","GJABAPEG_04412","FLNDLMAF_04462","GIMAHOAG_04436","GGECDONP_04235","KGBCLIJM_04115","GHDKDIHM_04476","PDDJGGLI_04468","HLFBFLHK_02131","ILNMAOIA_00737","OJHJBKHD_04385","PNDPEECJ_04131","PGKCJFEA_03935","NHHFDHOA_04381","OKIGJMAO_04229"
